models,r2,mape_runtime,mape_power
lr,-0.3,1.2,1.5
rr,0.704964137,0.398062972,0.150775669
knn,0.489882011,0.380113637,0.186914526
gpr,0.285805489,1.137476432,0.195246984
dt,0.606547449,0.269012642,0.173518024
rf,0.641491093,0.281893053,0.1599327
etr,0.74082298,0.292279999,0.145981932
dnn,0.620119179,0.180433043,0.110804112
