,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,stitch_power,"[0.9278507128692401, 0.9201787185884232, 0.9210988038871247, 0.9319627400659203, 0.9256812186865722, 0.9359717134491794, 0.9270070836480835, 0.9257401927208888, 0.9253904620247033, 0.9228044414259918]","[6651533.227169914, 6847686.686826568, 9202508.893012777, 6513305.075990129, 6478561.360061602, 4392987.4922289625, 5763680.957536077, 7424962.866242355, 7093091.398941013, 7592240.473729563]","[0.07505339212141676, 0.0705117012267185, 0.07864727650257841, 0.06862351015138761, 0.07451075040065717, 0.06166893747603672, 0.06817393253689641, 0.067340975256473, 0.06550163561394338, 0.05541933381923005]","[0.3467979297230184, 0.23305361070593805, 0.3672003333413264, 0.20738820649315595, 0.33310000633211795, 0.2575320312392392, 0.3125425051052848, 0.24994756137708884, 0.2708663149717182, 0.20258976052824426]"
1,best_rr,stitch_power,"[0.7403550909439752, 0.7598902596883962, 0.7663388008829266, 0.7222497079331798, 0.775244744146859, 0.7551001334199913, 0.7376373794491564, 0.7501710593617026, 0.7564463626608161, 0.6575935157090061]","[10412766.311463514, 9860408.501120765, 12890911.272957295, 9402413.391680617, 8697681.781874582, 7311575.437783573, 8697300.885300519, 11712622.021693628, 10165972.946347648, 13722247.343969775]","[0.08910779286742072, 0.07815847802057409, 0.09013619931477211, 0.07542912182346799, 0.07848123021236976, 0.07545735661268964, 0.07482648095733849, 0.08084072496801574, 0.07047175274818245, 0.06667622061969178]","[0.6565144622365291, 0.5242136637965038, 0.5968565673523387, 0.579643613584237, 0.6529206772295414, 0.4132021362038515, 0.8201108317721244, 0.4964304092017025, 0.7782600261100757, 0.5369558967071246]"
2,best_knn,stitch_power,"[0.7836038189750467, 0.7268552235365605, 0.7451895013204552, 0.8162861743990322, 0.8229328860708693, 0.8002435953614113, 0.8511349206860827, 0.7210245696304756, 0.7761697437404265, 0.7124028763558641]","[23259861.755960245, 26398704.30597158, 33040277.29685307, 20505651.472475655, 17038746.648659248, 16335969.199746596, 14653382.447601518, 31983492.40678437, 23469754.71314827, 31328818.99894229]","[0.12156629877665737, 0.13288061231334286, 0.1421756296017129, 0.10527241979026591, 0.09256034783779984, 0.10556056909133944, 0.0976958862082253, 0.13062464082104683, 0.11058066254836811, 0.11291204596325073]","[0.09807992715115982, 0.11276638407907966, 0.11086095212270762, 0.08525242726056907, 0.07786838790817913, 0.08472581541131446, 0.08423482627785255, 0.10578267730320343, 0.09314349752432886, 0.09407499763330877]"
3,best_gpr,stitch_power,"[0.8510479932073893, 0.8306405664554833, 0.7950255512599648, 0.8166276119090439, 0.8035882709421109, 0.8292618023057233, 0.7685002659464999, 0.811626865865699, 0.7907370715502844, 0.7617706784569455]","[12549238.917523539, 13311857.803727498, 18102610.826706305, 15538130.885907788, 10635940.90331113, 11219488.047693068, 13237125.102663187, 18098700.23648732, 16746871.944160687, 18799186.71191962]","[0.09582804828216156, 0.09477318172481727, 0.09894332665905972, 0.09679285268167642, 0.08571911710355831, 0.09325713527266903, 0.09337427220791264, 0.09685022594850674, 0.09813126266815157, 0.08195073765057306]","[0.44483883536221275, 0.3890323846097397, 0.7021204761429903, 0.44202465708649924, 0.8970386080323102, 0.4532480547268193, 0.8538111336700059, 0.40777512200416083, 0.6256469141401709, 0.4308346823323696]"
4,best_dt,stitch_power,"[0.9999999999976742, 0.9999999999777768, 0.9999597819195081, 0.9999999999880423, 0.9999999999984406, 0.9999999999957918, 0.9999999999936877, 0.9999999999900154, 0.9999594870723612, 0.9999999999926047]","[2.7130852341901744e-11, 1.9352941176687587e-10, 5089.882440173336, 1.1764705882298104e-10, 1.6544117646589866e-11, 3.470588235323917e-11, 6.504429920062909e-11, 9.300653594783386e-11, 4247.323595987246, 6.477124183002584e-11]","[0.0, 0.0, 0.0008761111497709423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00052364786543265, 0.0]","[2.1696407048955728e-07, 6.568068531305665e-07, 0.0006172323221743833, 3.622548699420743e-07, 1.2026679022724351e-07, 2.7708435863222827e-07, 4.1979363940745424e-07, 3.987515555503237e-07, 0.00040566852374616794, 4.044025221429203e-07]"
5,best_rf,stitch_power,"[0.9851845624782918, 0.9919733392430019, 0.9859149255837546, 0.9863023050586613, 0.9831239735500017, 0.9830057645121607, 0.9857316906829594, 0.990384657772855, 0.9866537161744868, 0.9829774266202052]","[59283.061394335775, 26909.95619798678, 37749.439837132566, 40830.29161429486, 63080.63258833054, 20897.834177278426, 40713.547537935636, 34508.399057483184, 39751.645301454504, 38947.86489054742]","[0.004050375334085396, 0.0021183645937426967, 0.002861197553267141, 0.0030449448931487866, 0.003608814182712941, 0.0021137114714534465, 0.0027656695744070737, 0.0027033251315977977, 0.0034485820110577606, 0.0023822313710872203]","[0.16135021311790362, 0.02312440460400155, 0.14904946738937813, 0.11888125867964723, 0.11570763449593964, 0.1289452168627673, 0.12285811661281827, 0.08800836632753317, 0.15026606352793453, 0.08242591393049915]"
6,best_etr,stitch_power,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.321514899212809e-31, 4.0400119153414314e-31, 3.8989885274135947e-31, 4.505497853900154e-31, 4.180854039274503e-31, 4.551357644575915e-31, 3.4846190353788443e-31, 3.900982431356019e-31, 3.3011798726757965e-31, 4.82814776458338e-31]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.896672161911303e-17, 8.695770804426247e-17, 8.102874011502751e-17, 9.23289338164392e-17, 8.870503880547634e-17, 9.551998511830559e-17, 7.667127386690394e-17, 7.870581965046846e-17, 8.288223081250442e-17, 8.345470011854507e-17]"
7,best_dnn,stitch_power,"[0.9923456179166921, 0.984609171546237, 0.9917500097717904, 0.981230324953805, 0.9934005147124968, 0.9885037090840183, 0.9867867345508475, 0.9526731895539104, 0.9849314247334813, 0.9616247227098675]","[276794.8452023225, 259301.07284741732, 592022.2331415417, 709473.648153325, 624808.0372071444, 487690.15400039824, 639746.7547564033, 4916801.879626477, 646564.513744301, 2888211.9340791944]","[0.013733831280799457, 0.012095431812804112, 0.019886029079943336, 0.02123880805196321, 0.01861409887608176, 0.01411075198701619, 0.02208258330729925, 0.05064520971179815, 0.019205349075515632, 0.03641691839632438]","[0.09663205250369415, 0.14907801375718566, 0.10348177066477161, 0.13431592594911396, 0.05264090593045187, 0.15588166687730734, 0.09246693934141312, 0.11619786383019347, 0.1304946187215302, 0.1916274059757836]"
