,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,montecarlo_calc_pi_omp,"[0.80294647475575, 0.8473464454040951, 0.7898218255057295, 0.8178359408695952, 0.8075723481708423, 0.8062395500553561, 0.7868163933745321, 0.8065344882252841, 0.8139965819865862, 0.8343145130174296]","[7905404436995.635, 8056948868677.293, 8921226105681.975, 5657393715050.499, 7109533666853.655, 7916585947117.032, 11966255406512.066, 8437764671207.732, 9140632210486.818, 6793821730235.652]","[3.2446467585907786, 1.9443709155639597, 4.313084995068129, 3.946102806541064, 4.145795179538231, 2.745680515092486, 3.546308232602304, 3.5886999913421467, 4.40058575357557, 4.638565500721206]","[0.2253966459990502, 0.1756215711168964, 0.17134414269706935, 0.1735057908127084, 0.20859476301233487, 0.18532149029861897, 0.16530617310903542, 0.19226656965766567, 0.1799508641446798, 0.2126482294049712]"
1,best_rr,montecarlo_calc_pi_omp,"[0.8090392604182912, 0.8068150215429403, 0.7479031475389092, 0.7881712399986509, 0.790132537239825, 0.7604731269869894, 0.7407642817534486, 0.79634923559387, 0.8071021214132896, 0.8107675708291032]","[8315593845428.766, 9645942986878.32, 9711248316100.312, 5118340760283.52, 8258849579777.516, 9233172218782.717, 13520402634715.514, 9125406997782.572, 8568095737281.248, 7122021720371.834]","[3.1413960218021604, 2.8346461959573617, 4.17117078862946, 3.16720782028101, 3.3918336891506655, 2.7739648802015795, 3.226372128532248, 2.7722446399755496, 3.990277562847187, 4.427383935075249]","[0.22380123280980657, 0.20594903980947327, 0.20929016414276733, 0.18899363441004938, 0.214344764937954, 0.21620002885415712, 0.19693234747066876, 0.2110623714913429, 0.19175711027574088, 0.2276662354227127]"
2,best_knn,montecarlo_calc_pi_omp,"[0.9860581613214878, 0.9786299521191419, 0.9759240926522724, 0.9868322392062924, 0.9762054068145858, 0.9623762929992752, 0.9737897538206044, 0.9656877482757171, 0.9400066643202036, 0.9677417878697073]","[47668774021.67581, 667312734481.9213, 611145363421.1774, 201768742306.78168, 398290358737.99945, 1085103056510.1309, 1737838446648.8774, 1749245013043.2668, 3214426033266.666, 498866712785.3495]","[0.09878163731790297, 0.10299779059576213, 0.11026275675013457, 0.06155622905304677, 0.10681311820803631, 0.12926662783088178, 0.14113217600168, 0.13898022700879986, 0.16755538737840664, 0.14600521536680028]","[0.09395832873613787, 0.09236577710096346, 0.09202988136947819, 0.060426935184890014, 0.10446906056084365, 0.088315856440293, 0.06282457521655886, 0.09372624044699157, 0.12662091482258647, 0.14052184073890686]"
3,best_gpr,montecarlo_calc_pi_omp,"[0.6845439922393961, 0.7976837877044368, 0.6565968303736841, 0.4227622029195848, 0.5578814677901043, 0.7255523560062541, 0.613988988721923, 0.4309938627351875, 0.7315407129111149, 0.6822901819681095]","[5751462596424.69, 5518950774722.135, 4133649809210.529, 8981799031764.445, 16731733395301.219, 10640149787058.463, 11701558176218.873, 16749084170388.71, 8489506694552.069, 5468469632277.208]","[0.22380864665548383, 0.2555668792819627, 0.27993761828760844, 0.3127407796227474, 0.24905364514399778, 0.25501793425021896, 0.29861143983135857, 0.288274626066056, 0.2833814253573953, 0.328811141884849]","[0.2171918504947552, 0.24787625707948222, 0.27747390632830415, 0.3044773933833506, 0.2553372348405054, 0.2561129780655986, 0.2905040353902831, 0.316570670937037, 0.2950150756266975, 0.32074697041496375]"
4,best_dt,montecarlo_calc_pi_omp,"[0.9188800233945693, 0.8954473738458388, 0.8436579600678009, 0.9419104130431386, 0.920377516057002, 0.9559681182221083, 0.9440770174409703, 0.8619955892808012, 0.8119015247775743, 0.8182601175605795]","[423138091383.3156, 1215250782292.926, 1243550905082.1335, 1442350048304.4622, 353440738942.71906, 856238388482.646, 995305022201.53, 4254982548793.0225, 1590835350144.6052, 232338105484.35614]","[0.13223279930496942, 0.1587300238832968, 0.1546230047333652, 0.14209922558775845, 0.13468039371182675, 0.12539152755485972, 0.12059811135897323, 0.22888345270420804, 0.16643575158160914, 0.11906539803489398]","[0.22800225141397706, 0.23349447665661627, 0.23608710926762552, 0.09269705118672558, 0.1591646550880264, 0.16591934300589722, 0.1160478384343307, 0.23823709670580226, 0.26061317831276765, 0.35603089321237363]"
5,best_rf,montecarlo_calc_pi_omp,"[0.965738146925166, 0.9854214394694134, 0.9798751664303836, 0.9826249077682113, 0.9865938078744065, 0.9816402215937041, 0.9843540572301952, 0.9760931695560893, 0.9861705671233416, 0.9789712468446166]","[629506141143.0594, 360843657064.48346, 413158596859.0955, 365175081706.3668, 238030070082.21854, 427455875261.85065, 535161964234.85974, 491585544840.2555, 497522092819.03296, 178762903034.57767]","[0.11262314854678168, 0.05744947210216817, 0.07257039902033549, 0.06701954543631392, 0.06695299723778828, 0.0801052232406524, 0.06877017189640054, 0.06621049115358456, 0.08570865565645523, 0.07007035652297382]","[0.1639675055423968, 0.09053287176238069, 0.0834361081239576, 0.06875041972508425, 0.07166680133983741, 0.08483024340217764, 0.07047177202093917, 0.09534668990757075, 0.0723870718019815, 0.14413856326778107]"
6,best_etr,montecarlo_calc_pi_omp,"[0.9767497946318568, 0.994822181466587, 0.9956613926269821, 0.9936793562076185, 0.9956490690123561, 0.9960925402285807, 0.9960669304983023, 0.9995885329884794, 0.9976196413148429, 0.9878444294515882]","[57382929567.73342, 1737398984.976412, 16745426249.243858, 31886174680.850075, 8024045736.74416, 25062418456.29008, 12375440758.418331, 1289547205.5684826, 8058084940.390941, 1764728989.3457522]","[0.07785073731326568, 0.014237437693131693, 0.0067033324203926116, 0.020333506180708547, 0.00877433400478059, 0.022944838231631175, 0.010592901965797014, 0.011420923840611054, 0.022346218409918565, 0.034006979490994765]","[0.12846082399975123, 0.029210345892163245, 0.016285142179816265, 0.028867836714589184, 0.02051110854579882, 0.02617940502258074, 0.010098521468928182, 0.005043674974066552, 0.014712147892150307, 0.07676419309212051]"
7,best_dnn,montecarlo_calc_pi_omp,"[0.9234896656953197, 0.9025932743322768, 0.9132359253201524, 0.9201501366935145, 0.9265159123284836, 0.9250526407510617, 0.9100971138280645, 0.859845279524236, 0.8429381355279468, 0.8884174191752809]","[319819281584.06854, 3844514294799.753, 1319287620717.7732, 802601172883.8917, 307046956825.9197, 611857364020.1305, 1616375739144.4849, 2899751884080.9165, 1511585944874.8972, 2993212245772.264]","[0.642320663716837, 0.5565887464853838, 0.6589767756998944, 0.7477314626885636, 0.5754483674796477, 0.49601197280382175, 2.30125014909543, 0.8297999833083085, 1.36097365054628, 1.1108776755818783]","[0.14587444562908863, 0.12359810097900029, 0.12578104060643652, 0.12698354706326204, 0.10297595092694388, 0.11328061915475335, 0.11164988717995973, 0.13479864885065093, 0.14013172306327357, 0.12644972583770994]"
