,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,svm_power,"[0.9254012918309287, 0.9306573282203444, 0.9334556706261178, 0.9281528998121711, 0.9171025804415567, 0.921985072576397, 0.9205610046241544, 0.9332726392990626, 0.9274647872572097, 0.9252501834374809]","[19725294.57396836, 21191646.47748076, 16004350.873126572, 19521499.345008485, 23063790.67421443, 31210570.133266367, 25113990.33057448, 14779548.304978807, 29084564.63508822, 20348125.526803963]","[0.08458348526561552, 0.07124499320908871, 0.0750876592258266, 0.07666068694487052, 0.07644280430977464, 0.07392514781793537, 0.086282066398269, 0.06703240547303244, 0.08043297496115394, 0.07670636407427088]","[0.2114320094844063, 0.2822193644319585, 0.26437303301704956, 0.2107882830890694, 0.1585098421206597, 0.2711315486715876, 0.23644853938293678, 0.1890579775169166, 0.39019488447802314, 0.21355467208248471]"
1,best_rr,svm_power,"[0.5576824843627994, 0.7064917576214822, 0.7563480364382074, 0.7566135836721875, 0.6757745872394337, 0.6982123976587781, 0.6654303023398473, 0.6649506154489191, 0.6576585816014476, 0.6735520944747193]","[31392467.72485057, 26644459.346160963, 16896672.703436375, 22222046.216282934, 37918273.36139149, 39481052.274284236, 28377117.699681032, 32452550.797012217, 40334594.10289865, 28042079.28539573]","[0.08550618460554306, 0.08379779797479739, 0.0794906233685505, 0.08659209068157048, 0.10497833278610995, 0.08643035882177717, 0.09677183852058503, 0.09742461080944853, 0.08834843033250668, 0.09369323768044512]","[1.0232836065059936, 1.0510039543729188, 0.8795939664475145, 0.8142353952922221, 0.4046152192285206, 1.078165561201639, 1.0898878296465964, 0.6536503447026035, 1.554442746272046, 0.7996126640572586]"
2,best_knn,svm_power,"[0.7646714866556306, 0.7531214441075915, 0.612640087505422, 0.8428835582680043, 0.7883179740261548, 0.7462320214151028, 0.7127328272097345, 0.7255338588616731, 0.8130962910637622, 0.7789220426591064]","[66573712.25021285, 82471733.33589488, 103248737.03271984, 42165440.14466497, 63152289.28510919, 110078416.75035638, 93960014.68056868, 67107659.58092901, 77545731.2136776, 64029714.75398992]","[0.13784343068979438, 0.14002821950879651, 0.15852691162986757, 0.11216592957731046, 0.1258094682031661, 0.14891603764751382, 0.12043294378981494, 0.1382931988910551, 0.13523585046900816, 0.1273446808158248]","[0.10820176964948394, 0.1181202336392936, 0.12872384912779794, 0.09339164508373742, 0.10290172063327514, 0.1254500133513424, 0.09829533542393633, 0.11262565996692728, 0.10506926640748539, 0.09969638966250732]"
3,best_gpr,svm_power,"[0.6401581205643574, 0.6686740361616017, 0.6979383713935695, 0.8721876631550931, 0.795320700797663, 0.6247106214266112, 0.7345220210565813, 0.7749063708709378, 0.794262640691614, 0.7925894510795797]","[96102803.32083286, 82808841.44143341, 61910934.41919745, 27108385.220761463, 52711483.83168353, 133500122.47630784, 77706512.08281733, 44290029.69875868, 59333257.548393056, 44028347.239573814]","[0.13479322351998826, 0.10639105339986489, 0.13519360490021728, 0.07677230124673678, 0.11591120907645901, 0.12832241245353743, 0.1197213614621397, 0.1189060718747337, 0.09691130945712202, 0.1065486607952403]","[0.8182297106652455, 1.1135131806976626, 0.6986081398739745, 0.4438248867279047, 0.29629479584191726, 0.9022809501250385, 0.32951199427490313, 0.3463169474279018, 0.8963057879459649, 0.4307393342183629]"
4,best_dt,svm_power,"[0.999999999999639, 0.9999999999999527, 0.9999999999999498, 0.9999999999997504, 0.9999999999998945, 0.9999999999999836, 0.999999999999863, 0.9999999999997726, 1.0, 0.999999999999795]","[2.644230769315233e-12, 5.008012819421956e-13, 5.363683934590201e-13, 2.145473574356624e-12, 9.892371003295425e-13, 1.9784742010386485e-13, 1.327758073747958e-12, 1.7828525641241444e-12, 1.011360134898733e-32, 2.145473574356624e-12]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7.379500247380436e-08, 2.0485654896882224e-08, 2.575337078239557e-08, 5.156555102073729e-08, 2.7334946887638614e-08, 9.104723874856542e-09, 4.3983597125851844e-08, 5.330007735877498e-08, 2.85152339227457e-18, 5.156555101766343e-08]"
5,best_rf,svm_power,"[0.983132878006515, 0.9969116444604919, 0.9959693645915093, 0.9963868606772337, 0.9926965327425701, 0.9950068445762823, 0.9927289230950438, 0.99439174505075, 0.9974427034021033, 0.9936753644930725]","[294991.89001544873, 124752.98345388629, 126779.12921397752, 120623.08861707481, 152646.60036826186, 249086.96494522598, 245530.52053758118, 129448.98304488116, 253627.04244121324, 135134.23298307648]","[0.003344154794247605, 0.0018222998397744983, 0.0020568628870155778, 0.0017031465689374926, 0.002317634768867183, 0.00306237412285624, 0.0029301221025783146, 0.001878665918625424, 0.002632762069145927, 0.0017566043249679071]","[0.06517155569820485, 0.07271751318697756, 0.07649174198267786, 0.05732592916740751, 0.039699260396865416, 0.07561131934182962, 0.0603601667911701, 0.05225167038167227, 0.08660635719277897, 0.059054190820531774]"
6,best_etr,svm_power,"[0.9984755006924417, 0.9988030239495493, 0.9984320871008296, 0.9985171320792764, 0.9991374210586778, 0.999639410260277, 0.9987150636865954, 0.9984320828785305, 0.9991007988129257, 0.9985622456193027]","[4123.109303636167, 3473.5544201843586, 1174.9661898426616, 4873.480853429685, 2866.6904010968815, 3217.317851618638, 2175.5960969390926, 3652.9976264057564, 4300.186504007305, 3480.811807748738]","[0.0006249095794976182, 0.0005272618017329238, 0.0003480525062619012, 0.0007371006029235178, 0.0004369998883317766, 0.0004033837935368754, 0.00044408338149458935, 0.0006098881977069655, 0.0005924842321773676, 0.0005580464081478036]","[0.007976264416837723, 0.015671866001916807, 0.03354271275808645, 0.02420997278510352, 0.013959260458456621, 0.0046588813693191925, 0.023553543574098397, 0.016337226645280575, 0.02294577848577784, 0.03217076676291448]"
7,best_dnn,svm_power,"[0.9904417855186105, 0.989701078778101, 0.9871229067108671, 0.9848384639379039, 0.9594136681685328, 0.9716000742434467, 0.9238438158081368, 0.976919798022612, 0.986644545677815, 0.9640970750353752]","[1370431.7260963307, 2018206.479364916, 773414.1379506431, 2517030.3706158907, 5626779.845619282, 2672624.767775775, 5772237.040407337, 3287193.3101479337, 2118251.0302594816, 5239879.6793065425]","[0.019697018586891775, 0.019491081813543146, 0.015255447039605134, 0.030556544691055496, 0.045226956986388255, 0.02811913914893311, 0.03446377445345179, 0.03724689448985687, 0.026803232027632972, 0.03716748345016271]","[0.1360996667832664, 0.09870003853505545, 0.1699237213851663, 0.08310118045909116, 0.0982726317811347, 0.2289061936932135, 0.20706863614752719, 0.05181955139935361, 0.1560704074063868, 0.06954456429584967]"
