,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,mser_power,"[0.9395882775679638, 0.9262515129338198, 0.9371169763892729, 0.9384134006334246, 0.9419176009925928, 0.9225254460091615, 0.9386917143131923, 0.912722976058117, 0.9370095777953823, 0.9265000392783048]","[283913.96593510074, 281140.17838578037, 277913.14382991794, 281818.63607154356, 238623.83382813656, 309981.5678292884, 192401.79546188822, 465352.80622814817, 240524.24514569176, 344743.8649589819]","[0.06666779955823213, 0.05926941586240462, 0.06416415022416454, 0.05894513696476392, 0.05388922280106604, 0.07074079794060248, 0.0632516829841949, 0.08970307766546447, 0.05221570530360973, 0.06321719820239168]","[0.28342495124685174, 0.2781155230543309, 0.32266337677519963, 0.27746001361147754, 0.3884458669495354, 0.36598989985524716, 0.37151628192438513, 0.2796897260271293, 0.4083495122986481, 0.2849300586218247]"
1,best_rr,mser_power,"[0.6752002087408886, 0.7551457951360732, 0.6848319588639414, 0.7064233382694394, 0.7731766710864569, 0.7233159444722556, 0.7245391431657426, 0.6958271419806559, 0.7405087074193613, 0.6945231568442063]","[734006.7528910274, 482989.3612729327, 641342.211394746, 659775.6048305986, 575017.8308773473, 553654.2249775202, 450916.0167494706, 613505.1707345763, 535314.017744406, 612079.4557295109]","[0.10093166064912819, 0.07932750238488619, 0.09661560076299523, 0.08113481800815615, 0.09126862884768851, 0.09463413575387497, 0.09335112383951207, 0.09115643440104135, 0.07982656820583531, 0.07749103804147507]","[0.6145981258592421, 0.4758012364589744, 0.7209926257739445, 0.5774560366116647, 0.7461180417405924, 0.6377094859741413, 0.798998734059149, 0.5332984953265288, 1.017492852796669, 0.49548750367022737]"
2,best_knn,mser_power,"[0.8269299198046558, 0.8167987747194074, 0.7970563656112518, 0.842056918241714, 0.8669382560142321, 0.8324889280075705, 0.8441723687770679, 0.8020296013169035, 0.8211421691617905, 0.7435745404676517]","[994382.2733613919, 893044.6435120252, 1111581.733626889, 917616.6792155904, 688912.4653831471, 772750.8804519166, 621350.844630943, 1194099.2171921458, 845590.344177406, 1461090.2151771493]","[0.11278662513966135, 0.10891350207530323, 0.11926737498499289, 0.1045262825170541, 0.08497062816939714, 0.09576927572695015, 0.09998658962262444, 0.1148662135943192, 0.0974988955335311, 0.11553130719016305]","[0.09280722607807607, 0.08814838252866002, 0.10212205685516822, 0.09018148457544974, 0.08198500258800985, 0.07716535398246116, 0.0845732915811571, 0.09694027206424058, 0.08897874428579483, 0.09550717871784009]"
3,best_gpr,mser_power,"[0.8593444769020477, 0.8543876057192411, 0.8705124709835086, 0.8062554101784927, 0.8309344060967179, 0.8475049923301811, 0.8092344062724321, 0.7987451507586822, 0.8100954357645408, 0.7648511184689866]","[606257.0861893836, 481787.07683580084, 569417.0224167383, 698965.5952496466, 693917.1006959968, 553689.5634604398, 519900.79637189466, 899834.5327712718, 570682.5888273033, 1067124.6399833085]","[0.09771854269403839, 0.08988570840274683, 0.08789030996058668, 0.10231026575015742, 0.09440068724529001, 0.09204865033581928, 0.09856612611239987, 0.12413235973555356, 0.09023402300470289, 0.09294200237437027]","[0.5296062675719765, 0.3637936873450227, 0.40067512012338785, 0.5751063648697456, 0.6068300527354059, 0.5456351873735158, 0.6464822131668749, 0.5459396619263679, 0.7897791623374892, 0.4985000714431018]"
4,best_dt,mser_power,"[0.9999999998246568, 0.9999999994637627, 0.9999999995399811, 0.9999999998356877, 0.9999999997650263, 1.0, 0.9999999996298402, 0.9999999990869781, 0.999999999768765, 0.9999999997429565]","[1.4221755670378727e-09, 3.5712802562834502e-09, 3.341569767438213e-09, 1.4715828191680178e-09, 2.0143979210949272e-09, 3.669120489400055e-32, 3.005024404240364e-09, 5.946675145344337e-09, 1.9168158286557027e-09, 1.758720930230041e-09]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.5866070150009035e-06, 3.208101077079246e-06, 3.671160121172187e-06, 1.6053816961782238e-06, 2.1689088848084097e-06, 1.2656502095368178e-17, 3.222261714959124e-06, 4.747438427903501e-06, 1.841483722142677e-06, 2.040670228833926e-06]"
5,best_rf,mser_power,"[0.9979281832844362, 0.999235483589048, 0.9996362590700794, 0.9991985366258511, 0.9996724811025025, 0.9993959340532437, 0.9992085520617817, 0.999454815393795, 0.9997478746766877, 0.9989779878154059]","[582.2009114096594, 178.046221815187, 186.21972229862988, 330.71687589873693, 352.0330627310874, 108.55221509291941, 286.99434638242354, 128.58664951304007, 289.55352153008283, 147.30988251385438]","[0.0020625868544095834, 0.0009537321421869972, 0.000916672409726781, 0.0013137992891708436, 0.0010962559996813026, 0.0008435424709212304, 0.0011741369500419803, 0.0008238272022100988, 0.0012259684467690376, 0.0006932887640102914]","[0.03302762668826789, 0.007763461124396963, 0.010552887207557433, 0.015731213625380276, 0.02906428251935733, 0.017899594544287224, 0.01136408611837906, 0.01186784182263289, 0.016724896139680135, 0.009277371529152713]"
6,best_etr,mser_power,"[0.9999999998246568, 0.9999999996234463, 0.9999999995748038, 0.9999999998618114, 0.99999999978282, 0.9999999997799895, 0.9999999996596616, 0.9999999995682934, 0.9999999998520096, 0.9999999997413698]","[1.4221755670347166e-09, 2.5078057708741097e-09, 3.088617929941817e-09, 1.2376184323859962e-09, 1.8618557995936468e-09, 1.7695772322678665e-09, 2.7629288687814792e-09, 2.811782227964476e-09, 1.2267621303453301e-09, 1.7695772322678665e-09]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.5866070151105337e-06, 2.7216528585472748e-06, 3.56926905412658e-06, 1.4756393769231181e-06, 2.0961267332844955e-06, 2.0406652426395947e-06, 3.120249595445011e-06, 3.402884582194033e-06, 1.473186977818771e-06, 2.040665242655078e-06]"
7,best_etr,mser_power,"[0.9947005062750076, 0.9796324165524922, 0.9851493781761871, 0.9889028595564098, 0.9880587329094677, 0.9870001428812549, 0.9606219450726756, 0.9581598645449396, 0.9316517651783515, 0.9642300349006335]","[14520.628286588488, 83645.40846077373, 91207.90866532011, 11529.572861733855, 25522.99566240529, 60559.53247220867, 146767.7572152796, 203011.8680015949, 157906.55533160124, 172038.37495964213]","[0.015263370307931566, 0.03227517732161418, 0.04893883722217218, 0.014773359326167475, 0.021006476561504072, 0.03559836023814825, 0.05976325887721372, 0.06460919038031415, 0.0587203300041647, 0.051286760684699416]","[0.11079192468513031, 0.06952487807090417, 0.08477257047756084, 0.1580844216235491, 0.17809295562405386, 0.08216020714410792, 0.16688834242523481, 0.11979198991905418, 0.3377320906683942, 0.10541583315887966]"
