,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,mibench_dikstra,"[0.8766606920642895, 0.6804581633207534, 0.6716717341451945, 0.9290976777546476, 0.9524350121082994, 0.8605934973919236, 0.8384885780687032, 0.9251080458300891, 0.6236659552707786, 0.5716332096342942]","[2538974.195167529, 15504149.671923278, 16793608.521422505, 1397470.5093147072, 590506.659707366, 2457233.336390328, 4829425.972630737, 1582104.2051049378, 24186031.722040348, 18278319.63393251]","[0.056547113380408076, 0.089959986005612, 0.088976200688967, 0.042455221646626524, 0.03271745429743538, 0.05900728454187174, 0.06140060103849192, 0.043703522003459776, 0.10096031030968802, 0.1012823002503057]","[0.038340840389649584, 0.08941285452791177, 0.06902992612690119, 0.04697107211111446, 0.06717659941846012, 0.05694520295879471, 0.04157311889730181, 0.04717407198066426, 0.05501912178292503, 0.12373052097822718]"
1,best_rr,mibench_dikstra,"[0.8756418830863943, 0.6797559627487275, 0.6722765882897377, 0.9279049426274802, 0.9527894193443454, 0.8592415546593729, 0.8383051490679776, 0.924179163254192, 0.6245475516074108, 0.572040951035441]","[2561434.282062068, 15543212.401575975, 16763398.960230462, 1424346.9064446562, 582900.2361998662, 2481868.05348217, 4837116.110789556, 1603218.537284674, 24134581.269244026, 18262073.628693633]","[0.05679420166073035, 0.09054608986236, 0.0889381024185804, 0.043556492492447994, 0.0315174177726508, 0.058425888567187355, 0.06193326076959487, 0.043882322666301425, 0.09781608170404152, 0.10409729590041375]","[0.03870363164877327, 0.08943402546519195, 0.06849149642483467, 0.045687804223513435, 0.06720638883722131, 0.0570948338994586, 0.040427193445405525, 0.04626831356319839, 0.05242205688071933, 0.12363974065678397]"
2,best_knn,mibench_dikstra,"[0.8528477806612249, 0.6656663473276372, 0.6685886409691069, 0.8676682830169411, 0.8949296843437109, 0.8377728086969332, 0.866346871882294, 0.9225511614137893, 0.6403578150236819, 0.5987104968197385]","[3153610.0549027147, 16343615.956353541, 17059420.165359594, 2675863.34843041, 1803389.0844954485, 2856243.036218772, 4060786.0589688816, 1712067.7472259693, 23241970.585574593, 17262123.929375343]","[0.06739975031678604, 0.09472200183191175, 0.0929560193674786, 0.05702236509376961, 0.04236763350439441, 0.05793746454350228, 0.04880647779846163, 0.04057835171754394, 0.0973140313872069, 0.09688039630828812]","[0.0381506101723761, 0.0930706891266612, 0.06771095072819516, 0.05870571029498631, 0.057309638834407345, 0.06267613392671828, 0.03601992759310028, 0.045080772804217524, 0.0463250077070642, 0.11659172796095368]"
3,best_gpr,mibench_dikstra,"[0.6610265202398494, 0.5198000687239079, 0.5305098452015955, 0.6246674133692507, 0.5327052426354584, 0.5426732176844256, 0.7375251304005148, 0.5965368001529581, 0.529384113210984, -0.66745191649824]","[3869201.966616276, 10035117.998827703, 13782635.255457643, 5762411.633829872, 7774779.025067297, 5390596.715021966, 5841323.764272575, 5762226.854034456, 23239336.59956656, 11140439.088995958]","[0.08733021504663264, 0.08302661841523992, 0.11238460714110601, 0.09384246737524186, 0.12388842998689258, 0.09948028810327371, 0.08842954195558464, 0.09893456504641823, 0.11249935180273819, 0.0945771379130183]","[0.22212451812150497, 0.4609757969130897, 0.3950786290385535, 0.2768760491299319, 0.16077849650464698, 0.40209683443215843, 0.19534717454218234, 0.276529097177702, 0.2837025645794697, 0.830324886593483]"
4,best_dt,mibench_dikstra,"[0.8759967330721585, 0.6344452704193494, 0.4038532314673664, 0.7046184219365523, 0.7426062940877427, 0.8696887080870728, 0.8806198575925405, 0.7088986919974011, 0.6632382279644911, 0.26705303285953147]","[2179472.0216888827, 17935114.97723092, 19941767.236020602, 5316624.588883593, 3844874.374873916, 2195329.6581480536, 3590497.072198791, 2520380.1475749477, 21070906.788941585, 17312965.30706976]","[0.05808892767274788, 0.0936802828037154, 0.1115293780138526, 0.10694460477390236, 0.10121707182701475, 0.06057406065248165, 0.05333767883371854, 0.05726104272172956, 0.11414857041403635, 0.09893864331647008]","[0.0696301868350156, 0.08628093757446496, 0.29986403560051417, 0.120795662689338, 0.11418739655248465, 0.1097111561835404, 0.05852836124407245, 0.3418635495159647, 0.08700254851639327, 0.206397006317496]"
5,best_rf,mibench_dikstra,"[0.7494253835602674, 0.42993874593052755, 0.5904992738602931, 0.7740327313058843, 0.9922863393968209, 0.7646313572672132, 0.6938040117614004, 0.8469019289052842, 0.5397040098578862, 0.2826618256271843]","[1044974.2100372263, 15824938.328796593, 15324664.81637265, 1709454.8667784268, 74076.01272827262, 808823.5546221503, 4730574.69128656, 636285.2794960563, 21871393.098427635, 15181784.273387775]","[0.026169523754255943, 0.07852287393736351, 0.06756811380897537, 0.040026366773254704, 0.010689726783807437, 0.026955559900779694, 0.05286024567279524, 0.024589780637735693, 0.09213617259808916, 0.07647853170023874]","[0.20844849171885474, 0.4169799791482543, 0.23582582089381307, 0.21699034682351825, 0.03190378643307925, 0.35748685446350675, 0.1682976472355314, 0.1990497186440585, 0.257682891213387, 0.3169407016345009]"
6,best_etr,mibench_dikstra,"[0.8221759406448317, 0.6609596597885475, 0.6701306995393106, 0.9076898270701674, 0.9479616183266113, 0.8590172200255631, 0.8322950531551664, 0.8962224636186314, 0.7494968571386278, 0.6103099138266179]","[2325809.5306079453, 12819126.765644085, 12076522.130443932, 1457920.7432386228, 863297.2968813928, 1929309.4879766894, 3315748.466074681, 931138.6143008828, 14760801.303956753, 11032789.266948376]","[0.05580681168961807, 0.0870141420118926, 0.07409232120347231, 0.04548532130767886, 0.030815134300945235, 0.047472638275937167, 0.05376039795379958, 0.03277544888677112, 0.08066171465668409, 0.06239849934380173]","[0.10710937484261406, 0.1985474365029, 0.19804356274097865, 0.07394334942926716, 0.04929401810192948, 0.1370038673154515, 0.08120173607847792, 0.13147860117186838, 0.1083935727554946, 0.1896052875287208]"
7,best_dnn,mibench_dikstra,"[0.7467350672890887, 0.844061281977813, 0.627589714140733, 0.8731464532637653, 0.5048042110080628, 0.8884478710476389, 0.6772759025669395, 0.903857725296095, 0.8029564804158658, 0.7394721546209171]","[3059901.574718705, 9807128.864555908, 6732022.212681053, 2598167.4238617187, 4526138.618664829, 1364626.4153572049, 11730932.316430554, 1822470.981658969, 9580638.086458083, 13742626.535618236]","[0.08624283585662616, 0.0777550692993806, 0.1071737247544055, 0.06791771844221284, 0.12165283292057762, 0.04949758674609695, 0.11001980566414826, 0.06968999884110143, 0.1164348018520381, 0.13618322676905734]","[0.08056972158557443, 0.12373870052842341, 0.12169635441868237, 0.07259081675109598, 0.0883586099864383, 0.05031042974145635, 0.09260307466524081, 0.06786920910282937, 0.06436240975466713, 0.13806023928233274]"
