,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,qsort_small_omp,"[0.8555531457082435, 0.85446034985016, 0.8454703211770314, 0.8559056025573918, 0.8431227477740426, 0.8815338441915408, 0.8607498337993977, 0.8502003335782126, 0.8879777912370512, 0.861027438057538]","[1394003.5355094192, 1029168.6537752439, 1441448.264318243, 1479421.7483514599, 1552447.612426123, 1379542.6017314247, 1686152.7697743082, 1888999.2913236963, 1272750.2128338127, 1479210.6044602303]","[0.40157096913807244, 0.4714108000438957, 0.43676459241521287, 0.4172097439927892, 0.4011233758149723, 0.42099475203491116, 0.36577725435659025, 0.3901067364596038, 0.4917537001110085, 0.3542759076385795]","[0.23296398137759314, 0.31114084513171325, 0.26841256969614363, 0.3443325633017916, 0.25740385141084177, 0.296892485308346, 0.23926079580692566, 0.2635237162853876, 0.25793296610730526, 0.2849430835871955]"
1,best_rr,qsort_small_omp,"[0.7673214792070077, 0.7893424103621884, 0.7720975817554449, 0.792527758022109, 0.7732923315222253, 0.8074608752829272, 0.7973369889616004, 0.7794885503380441, 0.8199312369056514, 0.7953681531566419]","[2336260.3265542733, 1651793.2694354905, 2247855.747267737, 1941890.0404485397, 2607730.4685227224, 2410880.696511746, 2645316.9825999085, 3098828.45414538, 2333088.2518921145, 2461401.2881387896]","[0.44938222241557, 0.38507631200589826, 0.43865060630751096, 0.4306829361091944, 0.4603046160004939, 0.4485735504311553, 0.3574985218466147, 0.40476828655549635, 0.39198281313640576, 0.3636630215748302]","[0.3007360040942059, 0.36055929467313935, 0.32427439447417367, 0.4140485014828943, 0.29520395415558737, 0.354766748578215, 0.2932460780593137, 0.3172024306602453, 0.30664687541990415, 0.32770131319351015]"
2,best_knn,qsort_small_omp,"[0.9218226731689518, 0.8963884911785187, 0.9128140682513713, 0.9124173221190265, 0.8871431861578494, 0.9166661366714696, 0.9295024961125723, 0.884503931896417, 0.928885470143614, 0.9181361221225612]","[914150.8502455045, 633615.430626814, 754629.0845348584, 726756.8939499708, 1597375.1292166903, 754067.8990668029, 945766.3346095793, 1595513.678149114, 851910.3991261737, 1221111.0001039212]","[0.1988389939697327, 0.2635095592392181, 0.18237512947996937, 0.18895714570155256, 0.23714082602955977, 0.21403468025465835, 0.15485737660530266, 0.1953375328444844, 0.20121075634570634, 0.1618968253792841]","[0.15375232278336923, 0.23375073146061942, 0.21010544919854812, 0.27603941088639117, 0.19381531600458343, 0.2648458378489289, 0.1640698863173389, 0.2387303156262068, 0.188428494933891, 0.1641086930354367]"
3,best_gpr,qsort_small_omp,"[0.7727276828418908, 0.7580603238235573, 0.793602182732497, 0.7515938533776674, 0.7641182315217879, 0.7736602629534195, 0.8269709080770505, 0.7369625526571342, 0.7781152121809451, 0.7816735124671066]","[2607061.345028788, 2159914.42695516, 1699975.5962140723, 2529830.267039882, 2832089.1677835146, 2288362.5258179144, 1755686.2643318938, 3684822.297671926, 2579542.8513957625, 3102314.981651097]","[0.6767442331301883, 1.046347549592957, 0.5614462608833601, 0.8324468911518016, 0.7985244651356396, 0.7753972185406002, 0.354365019042464, 0.6570792982222807, 0.8128891663388138, 0.5069743304081074]","[0.351667062664561, 0.4511404411501411, 0.45958336269379385, 0.5146209714784036, 0.423039612955271, 0.49310720162218763, 0.3089574410628163, 0.47297868442061974, 0.5267071362956196, 0.32324030487689853]"
4,best_dt,qsort_small_omp,"[0.9113304739641508, 0.8928217412790201, 0.9144135323281997, 0.9211539111480177, 0.8947238811005038, 0.9000188099057109, 0.9278231108774166, 0.9052446471538413, 0.935481868186711, 0.9079132391755881]","[1042980.3122095506, 692881.4679954458, 827362.6625984763, 1042635.0043431687, 1295101.7366870192, 934777.1388820943, 843330.3646834843, 1221726.5635185882, 649892.7475356043, 1004730.2840008935]","[0.1806319669829054, 0.17448521050324564, 0.17530334401941333, 0.17873026707548384, 0.20990122811058523, 0.20886276722744718, 0.1529880469315021, 0.16564686407769116, 0.17081900475520542, 0.16931925222999872]","[0.1482587330858822, 0.24199203616990753, 0.162879735325004, 0.16294247860057176, 0.1779033006003632, 0.260576312844668, 0.13917806835706234, 0.17424907766585276, 0.18306066129987122, 0.16478088581946695]"
5,best_rf,qsort_small_omp,"[0.9381930663114646, 0.9789948869457477, 0.98087627841833, 0.9842600296522606, 0.9838494110908125, 0.9800595531228973, 0.9895499906614993, 0.9832593460515231, 0.9807250512929184, 0.9741710336627792]","[671823.4225070955, 143576.33387992397, 190349.98831793643, 217483.73720565767, 131972.4251890697, 140406.6191127749, 113486.38706099123, 183249.73532406392, 280693.9428271687, 407771.9668738733]","[0.13571898100043878, 0.06575888467010345, 0.07379256794353689, 0.05807757779326422, 0.08008311623705137, 0.07164454978286797, 0.05342940007893775, 0.06491994870910466, 0.07899781339251583, 0.06667468201993165]","[0.15817468126911371, 0.09195970350787964, 0.09084455262512951, 0.08544882309837522, 0.08516037905149863, 0.09911172029215462, 0.07593331993986199, 0.10065869600700857, 0.08906094735300062, 0.08682629822590127]"
6,best_etr,qsort_small_omp,"[0.9339348338409776, 0.9783586132614481, 0.9772074571684002, 0.9814548615311244, 0.9863849028019654, 0.9758754415990123, 0.9864522064039922, 0.9837237343582801, 0.9821914096725407, 0.9796174348184037]","[675556.9809977732, 106937.47399740541, 169351.34597548825, 131699.25708315606, 73487.71014147949, 113442.51078468897, 107423.85953089708, 119276.26571313154, 243093.7526965038, 303820.0505048243]","[0.1484293094311111, 0.07060934965406053, 0.0713760979649912, 0.055957310789344135, 0.07647488818656038, 0.06875893027788396, 0.05113551769149442, 0.063183832645048, 0.07739650953399325, 0.06583871653836648]","[0.1595624506107734, 0.09510937412601064, 0.10955219773750322, 0.11049514249423417, 0.08897676674779535, 0.12477512448185292, 0.08883930960918618, 0.10248226581496299, 0.10134951592669102, 0.08004926488251665]"
7,best_dnn,qsort_small_omp,"[0.8955967412352415, 0.9288838511515438, 0.8701544977087865, 0.9392054065377905, 0.9111096665182972, 0.9498462695422702, 0.9522733330752433, 0.9299672525755431, 0.9489664237714464, 0.9213548656539803]","[1594720.9698034774, 438937.28761789633, 1991062.7285451186, 1039404.4763473053, 902583.0291975958, 440593.00600595865, 602729.8731756553, 550886.4384503516, 635502.6263663975, 1074456.896721931]","[0.21587111836038858, 0.1500765467852115, 0.22543710859463903, 0.19816714207488703, 0.18235871970377163, 0.1538050713768342, 0.12622441148712493, 0.14514994738763312, 0.22583829773375336, 0.1383838446828308]","[0.13024185544860026, 0.20647802984151306, 0.18583046558904304, 0.1802661706442369, 0.21720560415627949, 0.1996591002564887, 0.13240253509398506, 0.19919967434943237, 0.13157349851079278, 0.14850836400411224]"
