,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,mibench_sha,"[0.9219128106819671, 0.6911870450274994, 0.7086122139364153, 0.7782203048375043, 0.9516498520217936, 0.8526488440965065, 0.870344532729656, 0.9078735487429731, 0.7249964203590936, 0.49635025469815475]","[1915281.8939763843, 10344626.775976771, 9069203.857252974, 4924863.441447316, 605459.3291843212, 3801690.640663559, 3983959.3191492413, 1983802.2867666106, 8195740.257334564, 10643095.192662178]","[0.04141261484056636, 0.11379459188913023, 0.09194381786221743, 0.08304827743546607, 0.037300698788877686, 0.054950608456428955, 0.0747943304135384, 0.053928356279452756, 0.10386998961982206, 0.12852933897923627]","[0.027784186974042294, 0.100734059514827, 0.059854244892908554, 0.09474628788449904, 0.08289231804304095, 0.0881722991358669, 0.08372757547721867, 0.0962679640922759, 0.09595848351781967, 0.11161064474077197]"
1,best_rr,mibench_sha,"[0.9019604044142033, 0.6413273393480745, 0.719731650058171, 0.711901023692489, 0.9057529446680627, 0.7741474437317968, 0.7977592399524338, 0.8023617191058201, 0.7019756097776089, 0.4843628252112754]","[2467672.383483562, 12331568.077593599, 8759315.51838167, 6479477.868605173, 1403166.856749438, 6014759.664558664, 6559659.757811928, 4732997.641893916, 8940673.299654137, 10943692.942182077]","[0.051071039986007684, 0.12125738758477275, 0.11495212011773383, 0.0817060844312389, 0.0574908990589547, 0.0700441633307794, 0.10753313504571697, 0.0834357588317516, 0.09865248592136892, 0.1740625283934164]","[0.028930418689170543, 0.0800873842450655, 0.050727446105829375, 0.10640186810260742, 0.09325229915103486, 0.09613086222591458, 0.08600897644739926, 0.07524036930331866, 0.09449708583348256, 0.10226696094104558]"
2,best_knn,mibench_sha,"[0.9197570141986832, 0.6684721061357352, 0.7149028145053737, 0.7508526562153703, 0.9349604478305445, 0.8249282249931726, 0.835177836096775, 0.8656240921106424, 0.6823020932222428, 0.43651408758096655]","[1851767.7590460614, 11030987.927528882, 8842018.676448002, 5488370.57838126, 884064.6057616102, 4456367.732334344, 5081076.445885285, 2941518.0433107666, 9452833.816453211, 11889745.528031444]","[0.03775834510889459, 0.11374411927289735, 0.09273203410199132, 0.07758259813441243, 0.04100146048601591, 0.055464132338650815, 0.08133084174308179, 0.053964235327053585, 0.10809833069982733, 0.13498865583000072]","[0.036075400595271555, 0.11630379194014623, 0.06003646838215806, 0.11257441311315147, 0.08585734458943772, 0.10119751658541655, 0.09899549512226531, 0.10825282524776939, 0.10906375039550867, 0.11482646087489107]"
3,best_gpr,mibench_sha,"[0.7993119540368419, 0.08557139670209046, 0.5100672110850276, 0.09855191861657336, 0.5550121704854813, 0.19860830819251651, 0.5100633587798475, 0.5175209343411864, 0.409985198542882, -0.7863911167007634]","[4872070.021080353, 25728553.63671038, 10990915.409507075, 17527263.218135428, 6449573.403699376, 18576720.436930314, 13290150.420050228, 9614491.789391724, 16243449.61841815, 17304263.05942214]","[0.08394723049701834, 0.1761001386246034, 0.11363794535130399, 0.1489180313889418, 0.12651946912675407, 0.1500590740974834, 0.15927801293928592, 0.13016668982043125, 0.13885551645621608, 0.16119396635504277]","[0.06895889447174636, 0.38812945369434587, 0.3892022062699525, 0.3981454236119802, 0.20437063707725936, 0.3591680911166822, 0.3099676769601289, 0.28309151340404404, 0.318468868814507, 0.8732796702539077]"
4,best_dt,mibench_sha,"[0.7634435480538215, 0.7277640647162605, 0.5046444035983153, 0.730487944807654, 0.5039740793279746, 0.8169651168013827, 0.6097115104673546, 0.8479749504343688, 0.6803437662439827, 0.5433141477880697]","[4068850.724182078, 8911073.312354395, 9664029.47624658, 6154182.687141128, 6281057.56275168, 4687487.080297625, 4363167.774311941, 3473159.573086012, 9525631.755861327, 9513554.192805532]","[0.11596737832816024, 0.0869085579577604, 0.10186253316519323, 0.09442739193231488, 0.17825469250590953, 0.049155865430171454, 0.07568483564240622, 0.059310099123714786, 0.09820096223396879, 0.15567473915695126]","[0.1243317413724398, 0.13479272814551627, 0.27687579368627263, 0.06961927824027918, 0.2943587002528867, 0.13141099151456803, 0.34235790331183175, 0.10966057469621812, 0.12617186535888103, 0.1102277460634396]"
5,best_rf,mibench_sha,"[0.7151185216533322, 0.5976544025832393, 0.6802741032171277, 0.8375504029324067, 0.9492673528326894, 0.8070528317425667, 0.7849809329688164, 0.8644269236335538, 0.7624444113089626, 0.5582578992126674]","[1581900.9875893393, 6171477.196182188, 5749437.441887688, 2114089.1511020116, 285515.3753267977, 1877725.9529510941, 3158766.0286804824, 1516452.861900852, 5207213.363392866, 6205795.179664013]","[0.03641311367323966, 0.07854514752195803, 0.08336000482911819, 0.04691641754158553, 0.024427073113388275, 0.039144262711503924, 0.06441337870635139, 0.04143812615224058, 0.0733739205383321, 0.10727706896509756]","[0.2530388681887889, 0.40615684981366246, 0.2980739578994514, 0.22948215552030132, 0.13708360401105155, 0.39474526308719865, 0.2071179150915417, 0.2603797132215547, 0.2658519068578712, 0.32561929643739823]"
6,best_etr,mibench_sha,"[0.9103999842696986, 0.796221611023237, 0.8112930740418685, 0.9068107047071337, 0.9708798380710102, 0.9180222710919674, 0.8808980365425729, 0.9364609712677974, 0.8124763859161932, 0.6979148797635644]","[1866954.9330885631, 6438307.562668566, 5624975.23061177, 1908712.2671656485, 336180.5133793689, 1719594.3863571887, 3392004.3039156334, 1150506.1990239725, 5298617.732093496, 6314337.082888132]","[0.04034324572545142, 0.07856441085911366, 0.07708312025292455, 0.045183345153735004, 0.02614583418575239, 0.041578048326714544, 0.062158267661198655, 0.03565054541658133, 0.07569951437852468, 0.10312777558704492]","[0.08399614957285245, 0.15591059413725106, 0.1017763174860904, 0.09561406120481007, 0.06590146803176421, 0.14600714701323628, 0.09556674454775514, 0.12132641445059544, 0.11802253286616199, 0.13313824015936035]"
7,best_dnn,mibench_sha,"[0.8841573722968434, 0.8036197675155613, 0.8000237517031406, 0.6892864331356274, 0.8134317742362606, 0.8072313098747705, 0.7836037494511339, 0.8088894974665782, 0.7061123084505544, 0.5106014893535804]","[2343448.255951007, 6583634.1713729, 5961103.342788092, 6951350.845605308, 3036769.6603040434, 4630786.948962773, 6879425.067403463, 4306091.668604446, 8632699.923466215, 8821434.66001906]","[0.05179688149991248, 0.11691870503766583, 0.11519198834810225, 0.08261769314559722, 0.08121323281962628, 0.0549588607968765, 0.11092466587650861, 0.05876802903207976, 0.13399885112205853, 0.1552045660664432]","[0.0700802507023195, 0.08864831272922208, 0.06976829658911864, 0.11006301224081651, 0.06136188289550085, 0.11765141807479856, 0.10186219097268573, 0.10595640826866047, 0.11205189210726547, 0.18281103959780506]"
