,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,sdvbs_svm,"[0.8679506326563872, 0.8519533224763018, 0.7214419441167513, 0.934810846424985, 0.9676742226091752, 0.916431860574656, 0.8947294937479231, 0.8108737599920859, 0.928937668224666, 0.8778511621266887]","[188947.0321284895, 269545.9368728116, 1581437.5684671118, 426695.189700488, 96632.66087435815, 397657.03581374104, 86101.00848138022, 514181.8278178629, 241381.79447638252, 2518423.8978421437]","[0.008008230769218196, 0.010852514844993352, 0.021905839730361688, 0.016170041006987282, 0.008096948950549855, 0.014760695389608574, 0.00699303156804278, 0.014812296295596251, 0.00993670155459334, 0.043703564220707085]","[0.09973006035711336, 0.1493177114005542, 0.18318902909580712, 0.07967024818334384, 0.05676857197020704, 0.09757236395015942, 0.1052156555511372, 0.1268119204877673, 0.10335459061920824, 0.058422515528695325]"
1,best_rr,sdvbs_svm,"[0.8678918857087878, 0.8518671517605505, 0.721384942037508, 0.9346712337459603, 0.9675288435031741, 0.916523109871445, 0.8946196017181454, 0.8109274137549358, 0.9288715905171085, 0.8772907720094749]","[190706.00031438, 271037.9106993012, 1582946.1223497256, 429085.5939353105, 99684.8264537977, 395248.12914777105, 88962.02143347461, 512940.95924258337, 242777.90252219472, 2530283.870535149]","[0.00801939951723197, 0.010846245170330159, 0.02194079082191018, 0.01622890018106914, 0.008164170716732215, 0.014744987587622561, 0.007048213453114894, 0.014827773951314033, 0.010002226347943032, 0.04387126459832603]","[0.09978488108771134, 0.14935275514492508, 0.18330216935105195, 0.07966219346903718, 0.056770110248747126, 0.0976300712992269, 0.10520447038469215, 0.1268370206054998, 0.10352882291827054, 0.05851179327417162]"
2,best_knn,sdvbs_svm,"[0.7868964234797983, 0.7665436324829525, 0.553040069164582, 0.9316950943939017, 0.9399497222606088, 0.9355332336728809, 0.7976088961413683, 0.8085060904894932, 0.9599495716259756, 0.7902380712584369]","[176131.54506482015, 224167.3768338539, 1694785.2069122877, 370831.08452886116, 165484.589075342, 514953.6252696921, 90805.04593056448, 539928.6578912061, 364280.4445581757, 2732139.12467398]","[0.006707002909302776, 0.009466030791112988, 0.021317054510554698, 0.01474506657625229, 0.009990618689958848, 0.017048412008091932, 0.006583982526771732, 0.015663267078455098, 0.011246768962016035, 0.04419752146414401]","[0.07861270251467341, 0.11647725923325725, 0.1927799442826682, 0.06521679471429599, 0.06169494441223942, 0.07843318057372844, 0.096550789246829, 0.1167153642918588, 0.05657589816673114, 0.08387725182093232]"
3,best_gpr,sdvbs_svm,"[0.5697414698968498, 0.511622860972925, 0.07750281351547128, 0.7743020862215935, 0.5971770264378797, 0.6982949248096824, 0.6173395959666171, 0.6018124690059619, 0.641573509896484, -1.0676841938937034]","[1687471.738451199, 2050992.010474694, 8897581.12753746, 887192.500046473, 4185177.246891836, 2579744.068099533, 1156641.611943627, 5254401.372950153, 4484996.329529126, 9616288.064109135]","[0.031630707514427335, 0.03382323723994937, 0.049826293464215965, 0.029281520778767237, 0.05657789749356792, 0.045779652070257866, 0.03284604147920788, 0.05934889110480088, 0.033512215878627065, 0.058169430566334286]","[0.2404365021617112, 0.4428876142985605, 0.5514619056958451, 0.27057155169457703, 0.1699506063389748, 0.37838671876486507, 0.24748136786559713, 0.3272101456829922, 0.307707991606887, 0.7789929597558362]"
4,best_dt,sdvbs_svm,"[0.7681837453289813, 0.7236797379034777, 0.5372418288560376, 0.9669448647851331, 0.952192324304376, 0.973315512062136, 0.7945994739820812, 0.7932047351271361, 0.9291516800920474, 0.8111338355624722]","[847913.1937003268, 1203429.443334811, 1778186.410995495, 299856.2923335298, 329825.57256860874, 584653.07880169, 193183.82881801837, 1277667.1753897571, 1112762.6597535207, 1980465.7029400277]","[0.012213647308533249, 0.02114563583206208, 0.02396138151287138, 0.01397423733576046, 0.01166757455575193, 0.017801932442023084, 0.007964435826911668, 0.02221069903742889, 0.017297143986225325, 0.03923294149412823]","[0.0686484926893841, 0.13472922009557423, 0.2197802233664514, 0.09020110497262138, 0.04662705749276463, 0.037976696192296745, 0.09731319451539719, 0.11612123219243232, 0.05818065633833371, 0.10363899880994681]"
5,best_rf,sdvbs_svm,"[0.783903966910517, 0.7567174963067467, 0.654726342601879, 0.9310745357681106, 0.9542501092957725, 0.8882354100851773, 0.7266806228932439, 0.8383985638371573, 0.9003788776443389, 0.844062239703512]","[95213.90844345564, 149940.80778951838, 1623498.594903284, 281200.4230730062, 77385.6366543913, 39814.65105943158, 282254.6969848556, 1335279.8628396785, 294850.3919800564, 1681832.6197413548]","[0.0064553982932970405, 0.009948909413663588, 0.023534578818992714, 0.013289716993647697, 0.006198508588101361, 0.005412708364481913, 0.010660383231209221, 0.01962707064719451, 0.007732957081383593, 0.02814612036561775]","[0.1599701857529974, 0.19938852244929545, 0.18889158720142413, 0.11601486689870658, 0.08573791166621565, 0.2081636597404633, 0.17918455990494717, 0.14528417360364096, 0.14897339718536004, 0.10913430004365302]"
6,best_etr,sdvbs_svm,"[0.749613452458169, 0.7881564269184512, 0.8074303956309172, 0.9630494838054684, 0.9558679797104717, 0.9885309162804687, 0.812074713965389, 0.9545135190334961, 0.9998916300266496, 0.9996634602085519]","[274429.94605394546, 269439.73784709064, 414.1841323966937, 3704.26688082013, 1879.1933994266344, 272071.00395523565, 747.3269643040461, 3971.612720813351, 46.974708868530456, 17.082432254010854]","[0.007614566501592065, 0.005662985838693834, 0.0002602751525543797, 0.0011607733405366314, 0.0009421968111380119, 0.006217727312583069, 0.0004779152241039038, 0.001336347991025606, 0.0001286098137089793, 4.4709299882939886e-05]","[0.08871675660612013, 0.06051090442581344, 0.0502235204380802, 0.024791144928970745, 0.026915345028927104, 0.013936941321592816, 0.05057791410753018, 0.02517385346884538, 0.0019148187395218405, 0.001593773351896106]"
7,best_dnn,sdvbs_svm,"[0.4720475509611476, 0.8579091271970247, 0.1877340047977208, 0.9654100500846482, 0.6933841510857537, 0.8627331280399186, 0.41392398607023895, 0.6391026505045023, 0.9431786803707767, 0.7500213986008208]","[5415236.214816459, 1722881.4519262502, 4299942.536272596, 502999.8337087713, 2998286.2692033723, 971672.5387647552, 4115851.8530841134, 2339724.112767285, 198852.25124629113, 4586129.93422]","[0.09248844557349489, 0.04838956059135608, 0.058641608386954765, 0.024088708468311588, 0.05450071189837627, 0.03491835425419528, 0.0668961327993737, 0.056198216905497395, 0.013703613008882573, 0.06623774462875977]","[0.11376805361690283, 0.11705269564355435, 0.37686159690374654, 0.05323503965751858, 0.13597495799183607, 0.15752999101911905, 0.13394130854594313, 0.16348947839561148, 0.18238699306911502, 0.1215804799759469]"
