,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,dijkstra_power,"[0.8994006586931496, 0.9064534001111062, 0.9257255770767228, 0.9361916228228994, 0.9097185729050326, 0.9166409541737379, 0.858927398281605, 0.9286831913441183, 0.9279030828746474, 0.9182868487287918]","[46468828.11279234, 65733743.002280116, 66553766.01613825, 64149721.97737894, 71498905.71782677, 74334175.22756737, 111207010.33131796, 61856866.8574629, 107289488.41626619, 53002708.41030596]","[0.17207047267026762, 0.15805398095066145, 0.15494458905833214, 0.1537597737786516, 0.17364711504997454, 0.1766577895607759, 0.257720302128502, 0.16188120583399604, 0.14166674311761818, 0.20551842511516238]","[0.5596599698922946, 0.5011677998661306, 0.5136822427338917, 0.5483438804411417, 0.4289374598903513, 0.36770669692412294, 0.42869538668310125, 0.25085973467311445, 0.44670788657013116, 0.4414287543975188]"
1,best_rr,dijkstra_power,"[0.8995170101812522, 0.9065001788415676, 0.9255475507503512, 0.9363830210042805, 0.9096992995497158, 0.9164875032882205, 0.8592463247787356, 0.9287510541518527, 0.9278465043293704, 0.9185106788599638]","[46392680.65397953, 65581063.68753758, 66672913.72367876, 63975169.2027348, 71452202.30927986, 74366619.37564299, 110705590.17122449, 61855590.97489662, 107451947.03900062, 52813505.262879595]","[0.1712347857348668, 0.15717753329412032, 0.15470504007461205, 0.15302611504396244, 0.17298758253259616, 0.17596029076229922, 0.2569489296353568, 0.16122374012638369, 0.14121887767474295, 0.2046935789236832]","[0.5541184494378631, 0.5005484533000844, 0.5084629293821283, 0.5474471827659401, 0.42386860564339274, 0.36636987929427706, 0.4295724947692382, 0.24889801162811673, 0.44051088767206675, 0.4411753083737147]"
2,best_knn,dijkstra_power,"[0.9089178424756674, 0.9409361337571749, 0.9420352643883025, 0.9549766735446948, 0.9222831991474654, 0.9078855373375055, 0.9337456825818202, 0.9438363418938844, 0.9188114248300154, 0.9436499876344083]","[24551196.745616864, 26448272.24932045, 23052250.849329837, 30053892.547303587, 30419495.646276843, 45063443.249321945, 25447993.55786619, 29117888.639845755, 84811148.32722503, 23797412.578162465]","[0.12309462134127207, 0.11570793424870982, 0.12242670022498892, 0.10887921907138023, 0.1253833796820178, 0.12504016955104572, 0.1236703645912847, 0.1093770075833865, 0.13803922761976561, 0.1103973371263752]","[0.09331621223391467, 0.09182539585690623, 0.09985330104545707, 0.09888843200130953, 0.10266146256845313, 0.10273122818580784, 0.11155459883854468, 0.09117645850769354, 0.11445339866336403, 0.08362190497768243]"
3,best_gpr,dijkstra_power,"[0.7590807113704178, 0.8893212292898642, 0.8049432485099348, 0.7812253697205529, 0.6476412559029618, 0.737230462326852, 0.6198222487110965, 0.7980830877769391, 0.8617471790133299, 0.7855355994673501]","[65707820.05503161, 32353018.476195768, 113209881.80047998, 126941626.16487284, 195288949.27434447, 189383168.3014197, 176456877.5060665, 99325287.87646948, 123144163.9678311, 81132258.74668834]","[0.20803425244522875, 0.14860532423185122, 0.19927117645415166, 0.17757613933252803, 0.17300699380442316, 0.1806786056509218, 0.22349564886015716, 0.16457330921530672, 0.13413671924573747, 0.20147103700502977]","[1.0695286749438542, 0.45889628504798635, 1.596438063722567, 1.372528660772099, 1.4550272438075504, 0.8672058118344368, 1.714249982267659, 0.892039064609096, 0.6665142715611806, 1.256472562980022]"
4,best_dt,dijkstra_power,"[0.9941950865389134, 0.9969189614746297, 0.9949757699772088, 0.9959764058135505, 0.9938644855050855, 0.9960259920611988, 0.9706338614778415, 0.9913398802218096, 0.9781095095705232, 0.9863918911829797]","[35.12623227849589, 89.54097023807054, 3585.95249652299, 7.5062823035544515, 0.528182399769863, 25.793179760753425, 17.201640649457534, 6578.893040705563, 33929185.59887861, 6420.57315965884]","[6.001767498157298e-05, 6.206305705946764e-05, 0.0005354583988917074, 3.1806332751235264e-05, 4.543115873306128e-06, 6.029934187758309e-05, 4.0588310391716376e-05, 0.0009045165071390009, 0.011071011048244775, 0.0008444393504443641]","[0.015408827564720557, 0.008734870314279322, 0.014567095198162594, 0.013122082121095462, 0.02255594325652038, 0.013758427560903314, 0.026930166647853, 0.019472266879244093, 0.026033433536250383, 0.030581784244688718]"
5,best_rf,dijkstra_power,"[0.993946940554572, 0.9967338847985836, 0.9962570910808337, 0.995121241610071, 0.9949773525938869, 0.9961489096659841, 0.9941160674409982, 0.9940341064056072, 0.9967886954443322, 0.9943647860246462]","[57356.840056811154, 38562.352758464935, 51965.09948328735, 66325.49111071104, 24666.771434188526, 36870.10084491877, 15196.822346513592, 25201.355819202276, 23607.537586341223, 53662.88181037233]","[0.0037232331752951315, 0.0019723936095916842, 0.0021704353571560518, 0.0026586324603096964, 0.0016593638615790434, 0.0023697759150966948, 0.0021201000002895533, 0.0022075316504029307, 0.0014386498433276837, 0.0023753974560323256]","[0.02812908249708564, 0.06191937508996142, 0.05401168056971221, 0.0691467403602401, 0.06013171898729936, 0.05178304216741081, 0.0446991407723932, 0.06858624374628274, 0.06136365535740386, 0.057100336845028125]"
6,best_etr,dijkstra_power,"[0.9998400063320272, 0.9999285355465983, 0.9999172652949315, 0.9999288748563846, 0.9998950267367382, 0.9999255312158568, 0.9999015539909786, 0.9998924941213116, 0.9999417475807224, 0.9999201108110691]","[2.0420231146682135, 2.562292721559889, 0.7813777087728035, 0.9652249323972464, 1.97469680383117, 1.4619314227797537, 2.54400053607387, 0.6123750573628874, 3.819056209804413, 1.6847014687257371]","[2.129815232715336e-05, 2.5253492300384076e-05, 1.4371575543214057e-05, 1.6194144187128855e-05, 1.8331400002621982e-05, 1.5468064768214126e-05, 2.6180342854539576e-05, 1.3787126386002253e-05, 3.1901529060193175e-05, 1.4423834800570873e-05]","[0.0031878076166981517, 0.0021940438930251145, 0.0028164101991862926, 0.00238133029357494, 0.003020401400951554, 0.0022296761721745987, 0.00289627488228233, 0.0028555852373368003, 0.0023101079832849643, 0.002485039284128276]"
7,best_dnn,dijkstra_power,"[0.9751907413307365, 0.9883722336340972, 0.9731672565774616, 0.9414015277568131, 0.9624785072965314, 0.9873297368590851, 0.9897796287161672, 0.9372094576445774, 0.9357926313388907, 0.9802850348040294]","[5538537.74640093, 10006822.53119802, 16539826.569541425, 20228131.034732003, 20066999.825732443, 1634056.667579215, 3643980.7182007646, 34562100.71125592, 111192323.73029274, 19119315.166799165]","[0.04295668956292717, 0.056536714402518166, 0.07432405108986637, 0.05924977775822068, 0.10367636355971624, 0.0412866410862753, 0.041457872753269724, 0.06912202408353328, 0.16017142237635587, 0.11656135825755914]","[0.23113102935042557, 0.09615743780011285, 0.11418965827885916, 0.11695154127275974, 0.10408144259671626, 0.19616708867771698, 0.09937882765154124, 0.14376929443973852, 0.29539759915457564, 0.12126542030554867]"
