,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,sha_power,"[0.934535281114255, 0.9203114343355125, 0.9308384815673214, 0.9357938996586268, 0.9295660024586997, 0.9213371324209647, 0.9282530466488745, 0.9193172226841207, 0.9068131972904759, 0.9300442986270998]","[2483509.7889079424, 3944855.5542457583, 4116960.0885365596, 2738969.628346295, 3096127.3771031476, 3010042.156010229, 3043148.4586525923, 3189830.563229402, 4042074.1914036293, 2963435.031351651]","[0.061377012543191105, 0.0696798348232479, 0.07667057893847706, 0.06837483564051428, 0.0628692232659771, 0.07263904763751254, 0.07620526456770525, 0.06651863496594666, 0.08511105395587458, 0.07059512679684646]","[0.24840806037142327, 0.332841057293903, 0.3750917915365047, 0.33917687827459203, 0.41595249443300675, 0.4544936764921197, 0.1984249277882499, 0.47399246053274735, 0.45810293027856175, 0.2895064274297015]"
1,best_rr,sha_power,"[0.9345369122372409, 0.9200494566571091, 0.9306581256421353, 0.9360113427087033, 0.9293589613099269, 0.9212440614241024, 0.9279458763758262, 0.9195030269258104, 0.9068773388871243, 0.9301711407096596]","[2486961.0918676546, 3948721.656954795, 4123122.6516264332, 2729099.896645417, 3103916.9885969134, 3011835.6464637127, 3048930.967327229, 3191172.472504767, 4024255.905405295, 2959982.621969351]","[0.06123025174685472, 0.06940605337005601, 0.07649379989595505, 0.06811502731975455, 0.06261906115721617, 0.07250811036676692, 0.07608859791251647, 0.0662316445935571, 0.08476359728665611, 0.07036290738721876]","[0.24595349639891337, 0.33187592741044525, 0.37399430616058904, 0.33166654619460323, 0.41438295146267956, 0.4551340447667671, 0.19408859916512572, 0.4709989541889976, 0.4578995510389478, 0.28679695983905495]"
2,best_knn,sha_power,"[0.6419460070037426, 0.8578682967597938, 0.7985970126048753, 0.7763854484428109, 0.7776903834973157, 0.8408179954580358, 0.7922092886940051, 0.7603170108063824, 0.845128484376569, 0.8182049391262082]","[18168309.484985366, 8340522.94217031, 14644386.912316576, 11861780.49647484, 13178776.793035509, 8112889.476840033, 12357823.420866054, 13218368.638357794, 8337613.1535978895, 9382263.972642861]","[0.1427986336599163, 0.09794306616195096, 0.1346390801331228, 0.11061416592508802, 0.12171953658716296, 0.10184863082633708, 0.12041486132918544, 0.11461953271630301, 0.09967249650674036, 0.10763966144464324]","[0.09625478794342184, 0.07082116379206935, 0.09549610787320387, 0.08045211862069741, 0.08765867798882312, 0.06998453862085223, 0.07536211404844734, 0.0828111195952647, 0.07299819636267203, 0.06883115369878938]"
3,best_gpr,sha_power,"[0.6627948255002742, 0.7427553853907011, 0.8167756869030062, 0.6952418664075306, 0.7591073788976753, 0.763357088851471, 0.6880586539173783, 0.7294970152367714, 0.7665430797139241, 0.7401715584178241]","[11523714.577775544, 8198102.780926443, 10380160.67114824, 9905433.317117414, 11398908.919109082, 7724757.345483706, 13137554.553692725, 10610460.204483036, 8363129.780867299, 9701203.48389112]","[0.140835844182627, 0.09414029322070303, 0.12560781595806214, 0.12090461912756349, 0.11097618081741943, 0.12619687128389095, 0.14447553628699536, 0.12434239337986241, 0.10604396504622478, 0.11250247928549315]","[0.6207944685112472, 0.6989638036808284, 0.5299470110377212, 0.7026378882009693, 0.5844161719094061, 0.8959371479538136, 0.6514540459009492, 0.6691124447349355, 0.7518576829595555, 0.5452117569008451]"
4,best_dt,sha_power,"[0.9735950496730708, 0.9980141269152853, 0.9984305039164422, 0.9972598505303812, 0.9978537523976121, 0.998374807027136, 0.9663068044893147, 0.9990613533373827, 0.9980400226315096, 0.9974906320211798]","[142.369440531981, 0.015045016237939714, 6055.745841148431, 1396.7835592488702, 0.5702806146957518, 0.448847888062343, 5139.2565817595, 0.00923369003438438, 0.6409358933898249, 1.4669441227584648]","[0.0002318688802144436, 2.872129629544624e-07, 0.0006876878245657611, 0.0006647898786671036, 7.172943170657654e-06, 4.369860253897883e-06, 0.0013803056453282907, 5.026320328127554e-07, 8.81819610864557e-06, 1.4525345770237164e-05]","[0.027803773605549077, 0.007262588391764471, 0.004873802512102452, 0.009203052467233854, 0.007021682662691149, 0.003984831709804607, 0.02692277106711333, 0.00341021005643677, 0.0073205973028487225, 0.006785536453774824]"
5,best_rf,sha_power,"[0.9950597678505564, 0.9957765139931213, 0.9994659350503097, 0.9984311579463583, 0.9986330131884582, 0.9979654743101345, 0.9984092964899534, 0.9993546163550335, 0.9985020574883202, 0.9984891845782983]","[9255.747781648322, 596.8865717058422, 7792.403726960538, 6783.647998311997, 7046.882670666069, 4914.781261866686, 9010.821703580834, 2827.014620126639, 3834.5423706516076, 4962.337497083747]","[0.0024763902162211527, 0.0004414682754191856, 0.0021378881498690144, 0.0014644321649613205, 0.0015628912394182884, 0.0015428842070807226, 0.0020257372336577257, 0.0008189766466578633, 0.0014927360659818935, 0.0012943058131592955]","[0.018491280875378407, 0.011127159148645642, 0.005293287949943334, 0.009700991705225754, 0.008419183356094427, 0.007653368119083373, 0.008169699765457089, 0.005703900251813881, 0.008970687079275215, 0.008214052715578407]"
6,best_etr,sha_power,"[0.9998860094760423, 0.9999527220019633, 0.9999108430875066, 0.9999724152112983, 0.9999224382852034, 0.9999485896890854, 0.999942450139653, 0.9998905143105288, 0.9999062945139805, 0.9999051377549809]","[0.8355486284310817, 0.7148326117573035, 0.09700764400338432, 0.7500549981488849, 0.1007457491409493, 0.09735630351170754, 0.3149499510805246, 0.2752099751411889, 0.11043375295335761, 0.3402956021364162]","[1.1717627973187256e-05, 9.309528453055405e-06, 2.6415797263777066e-06, 1.1268265128977666e-05, 3.164232593714965e-06, 2.7321966042582864e-06, 5.308233141504249e-06, 4.374364423551865e-06, 2.82275871294987e-06, 6.04349130705681e-06]","[0.001662731972147757, 0.0007469719620840098, 0.0014224546101455683, 0.0006022305540819597, 0.0014459768416720234, 0.0008704332205665094, 0.0009470040602559288, 0.0017318342906103023, 0.0016169988974653847, 0.001365289726511332]"
7,best_dnn,sha_power,"[0.9681358500612449, 0.9918126562924627, 0.9839057154312717, 0.988988054235558, 0.9846444777345202, 0.9888816810058165, 0.9737146194684884, 0.9836219253253762, 0.978652765749843, 0.9902166385791784]","[859872.2632164496, 288059.6605304792, 1066618.4067887312, 406291.66430262354, 758449.4994861138, 273554.4777250324, 857784.0167366884, 334173.48480090225, 820461.0660762995, 298373.9588673364]","[0.02808264740724807, 0.022017423055326956, 0.04122277519811653, 0.030493717678222725, 0.03522450513187227, 0.023445300571311573, 0.02930070686581364, 0.02071399538521121, 0.03191513760077279, 0.023948686789383306]","[0.09061923582088735, 0.0982726257746076, 0.10545561276452696, 0.12365180161601978, 0.15948579215163017, 0.09742626223970711, 0.1299252316381547, 0.13879025118316277, 0.16070028703472017, 0.12668531655161583]"
