,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,tracking_power,"[0.918619770026206, 0.9286234719032205, 0.9278428452027689, 0.9367565276140954, 0.9277193626846835, 0.9405637946116834, 0.9303088837802803, 0.9264093276343695, 0.9357605310160627, 0.928840160418005]","[2707198.987492055, 2516168.661298766, 3326621.189931572, 2185016.359798705, 2252529.279950401, 1701001.1048646332, 2684640.7647176823, 2580674.0590207744, 2638030.5551083162, 2096768.0304364034]","[0.08742561714109374, 0.0768642983395529, 0.08618118540153452, 0.07477092382837282, 0.08363258768684063, 0.07058356053105501, 0.07460479679869898, 0.07273482671031099, 0.06870839943192841, 0.05803918651933667]","[0.4060578962949599, 0.2698574579037307, 0.40537435565028185, 0.2317318475387976, 0.37998463194601784, 0.30741501377033686, 0.37641543756520157, 0.2889750044762874, 0.3179848160190041, 0.2274626674216172]"
1,best_rr,tracking_power,"[0.9177253578515084, 0.9292740432649352, 0.9275059574787623, 0.9355368620278155, 0.9294943878520814, 0.940904960386817, 0.9304891881217392, 0.9243685291870831, 0.9343973461174954, 0.9270457610202184]","[2715301.551373016, 2540515.519336854, 3325217.842816581, 2192843.8264815146, 2196569.3479255247, 1699804.0105521777, 2751798.993861943, 2616848.9482903434, 2711895.455273866, 2086955.7087704362]","[0.08696411476038345, 0.07617562399562343, 0.08468424289917968, 0.07359937041185498, 0.08231540615380863, 0.07013715687082266, 0.07289852437465129, 0.0715844219726178, 0.0687708562706089, 0.05606370501894404]","[0.4018225739443003, 0.24620454158767674, 0.3931038380433168, 0.2261547076829479, 0.36184586254768236, 0.2927731210265626, 0.352192909686603, 0.28300476843291145, 0.3305474853411924, 0.22067703537482655]"
2,best_knn,tracking_power,"[0.8136425350738501, 0.7951629716931101, 0.7991510454873008, 0.8547209374152915, 0.8556077910741833, 0.8602912571807434, 0.8937059207221993, 0.7644596131482548, 0.8372938460875748, 0.7479886948128298]","[6700207.092665735, 7809711.152307589, 9890512.558548732, 5550251.26336671, 4798965.648729058, 4419341.14711691, 4807947.982095184, 8917663.739596328, 7228194.109365107, 8237356.136718221]","[0.11658891353004432, 0.13091630895170844, 0.1354496978846719, 0.10215128045484215, 0.08943972479789115, 0.1031909692640326, 0.09703950706115475, 0.12800254419593177, 0.10855248817359531, 0.11013831274760454]","[0.10165325739468992, 0.11416632054493887, 0.11536752321348398, 0.08756773883172107, 0.07982420608843042, 0.08645817573493111, 0.08478922503738612, 0.10767299461703853, 0.09476774880922444, 0.09626088340480246]"
3,best_gpr,tracking_power,"[0.8540235731335453, 0.8425260683248186, 0.8036756281426923, 0.8291320069385529, 0.8040398999918397, 0.8542197985285991, 0.7622143273189055, 0.8286435463358246, 0.8192049556883693, 0.7757195353522659]","[4195374.233634609, 5141033.447600683, 6720036.839304838, 5119885.851249254, 3921944.627761876, 3758899.4403015124, 6781477.252522787, 5433817.90492893, 6040923.242828728, 5294881.611878798]","[0.09669661462831315, 0.10343146392137623, 0.10394288733939734, 0.10197848461133951, 0.09542868335309118, 0.09688402959907798, 0.1099217648044328, 0.09996082406137824, 0.10227176617267636, 0.08818620706959955]","[0.49966854003450367, 0.4606726569517151, 0.8095286008825376, 0.49088333639934006, 0.9537387890683153, 0.5212221405768367, 1.0128008518429674, 0.44849451713446725, 0.6978037809209537, 0.4883064214801157]"
4,best_dt,tracking_power,"[0.9999999997052759, 0.9999999994008046, 0.9999999996875193, 0.9999999995924123, 0.9999999997540729, 0.9999999999339932, 0.9999999997521543, 0.9999999997430618, 0.9987641669643392, 0.999999999809153]","[3.5422294843896794e-09, 5.459400426833414e-09, 3.4638325330064855e-09, 4.121699346394866e-09, 2.691494190259854e-09, 5.689795918422321e-10, 2.655204429915621e-09, 2.4714052287690005e-09, 52532.3563528228, 1.7388235294149033e-09]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004794882164407843, 0.0]","[2.473512964410527e-06, 3.873129633060085e-06, 3.5016188991225713e-06, 2.9977532152237854e-06, 1.6319796576300617e-06, 8.741653124976573e-07, 2.582687785008089e-06, 1.4614736757926437e-06, 0.003980160888888415, 1.838482745842903e-06]"
5,best_rf,tracking_power,"[0.998810971225936, 0.9994240555407254, 0.9994193140096721, 0.999447763762982, 0.9992990546099763, 0.9994599115949876, 0.9994133707806859, 0.999159078663708, 0.9992567076797684, 0.9994603288579558]","[3726.1819178936116, 1284.7028871322534, 1209.7597251258078, 1858.4595594668574, 1508.6017813486626, 1406.681838000364, 1887.1775059915665, 1170.0520428263387, 2310.8219160498797, 744.263133080059]","[0.0022419807521965257, 0.001089506453868613, 0.0011705233377777558, 0.0014143774783505032, 0.0013758176753756158, 0.0009725388199767087, 0.001180681129355084, 0.0008950802670525747, 0.0013758143330323558, 0.0006848118797098279]","[0.08684346260201505, 0.04588612962982072, 0.0679960150799714, 0.04202950036181923, 0.06661693039817433, 0.03308928675605877, 0.052391444658537886, 0.059349883526639995, 0.05134205150160252, 0.03469409755748329]"
6,best_etr,tracking_power,"[0.9999999997372745, 0.9999999997496177, 0.9999999998236909, 0.999999999689704, 0.9999999998915559, 0.9999999999310423, 0.9999999998503541, 0.999999999777043, 0.9999999997352498, 0.9999999998196529]","[3.1576445170626148e-09, 2.2812877995656477e-09, 1.9543766884571357e-09, 3.1378445896911237e-09, 1.1868425562848041e-09, 5.944172113337965e-10, 1.603176180102982e-09, 2.144551343510101e-09, 2.9358007262257137e-09, 1.643158460423982e-09]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.77738010923147e-06, 2.55095466321922e-06, 2.4224572422813134e-06, 2.6783734057027413e-06, 1.3427799496896981e-06, 1.1273887052940034e-06, 2.1287078101293646e-06, 2.5671915346858834e-06, 2.544722745246854e-06, 1.9346332808566257e-06]"
7,best_dnn,tracking_power,"[0.9909958254606885, 0.9865979223988, 0.9807090595704222, 0.9730783904669649, 0.986113045943453, 0.9866015495960203, 0.981190280560218, 0.9793036784252096, 0.9836912254883939, 0.9707269476073694]","[68890.39565567755, 321425.16922584985, 393436.72301001515, 351640.4521072449, 406199.7126290609, 470319.87956338923, 442180.46286334965, 222579.692718558, 410607.1578984584, 470738.27271545597]","[0.011796401829065134, 0.024233399206642497, 0.029372580286115207, 0.031909632327677885, 0.03413538256084191, 0.03910431771197662, 0.031282887728558285, 0.02448837046053143, 0.030842171215696036, 0.02905980963502773]","[0.14836990645769604, 0.1276887514738028, 0.19670497953702862, 0.14778622061951385, 0.18058388992240054, 0.14826088591122, 0.14774870910481275, 0.15577566847376179, 0.08857584911680867, 0.27583536571825157]"
