,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,matmul_serial_normal3loops_omp,"[0.6759003447319734, 0.6835249186042147, 0.6597128457242886, 0.6784137659067122, 0.6542583614457188, 0.6309921795813225, 0.6802778603177617, 0.672325502482152, 0.6440559523306552, 0.6153319615191651]","[199569150.90560907, 134747094.347016, 93889882.68100221, 138628515.28444842, 180953859.7594675, 186508018.89853838, 199930802.98130473, 158374854.03880617, 185484937.6825758, 200899998.49287328]","[4.881646370403944, 2.3767178204459527, 2.9942227899732243, 3.377461227098721, 3.4145788049983077, 4.269755360535043, 3.8552766217896197, 4.383526812715871, 4.384842961571152, 7.509037053339716]","[0.242715053883388, 0.18805861161831772, 0.20742680515502515, 0.22654739221179726, 0.23263340314544168, 0.2275540708200781, 0.2041977709427853, 0.23476231964233285, 0.2429185997746921, 0.21429835511310846]"
1,best_rr,matmul_serial_normal3loops_omp,"[0.666973857278796, 0.6871885729394847, 0.6741775177658014, 0.6894518292564401, 0.6505603888247287, 0.6340961319605085, 0.6759722967395649, 0.672304071802267, 0.6432613139852793, 0.6182776938486196]","[205100934.58019406, 129775770.35982639, 86507410.36840883, 131163157.49725682, 181699233.42837834, 182003818.49201968, 200703171.20246243, 159148111.00629473, 183052825.7307021, 197611227.13531473]","[3.9841134197601984, 2.1096377968239572, 2.5676850488857235, 2.9587913450599084, 3.1054361265241615, 3.4173339902403224, 3.176058260160349, 3.687347733564072, 3.7645998359886192, 5.994608040054691]","[0.27540091990428334, 0.20781756487226027, 0.2238604614009049, 0.2330337323349445, 0.22811720423164872, 0.2310461614616683, 0.20964999081867408, 0.22565673966607253, 0.25137074934386655, 0.2207185913331877]"
2,best_knn,matmul_serial_normal3loops_omp,"[0.7313206371758484, 0.8543550003939611, 0.7673012262736221, 0.7591972729588969, 0.7552794501344486, 0.8030416870736562, 0.8034569840200948, 0.7424673469643206, 0.799558635032596, 0.8073188557594835]","[190043146.59925303, 68094230.20339523, 70724447.5613185, 124478437.1569011, 136397588.76487455, 106719777.96312433, 133677473.23257285, 142338826.0600579, 117953309.65856314, 112137233.68270576]","[0.32840644907952654, 0.23125796914888908, 0.31832184043176814, 0.4547642548305714, 0.3818091669364093, 0.34177902376527264, 0.29441627403455123, 0.2829977956982176, 0.37930203607089974, 0.30165159336164943]","[0.24023047700025638, 0.13694038620324017, 0.14255957743648806, 0.1592482424920947, 0.17864342775803338, 0.15684793053277288, 0.1492872854167761, 0.18902745314370945, 0.15356391125160357, 0.14021390630259528]"
3,best_gpr,matmul_serial_normal3loops_omp,"[0.5831961965346705, 0.7219337515533513, 0.7925075540936244, 0.6939802858881146, 0.6628388313811855, 0.5604044540469393, 0.6327377598461487, 0.6018353252349049, 0.6216927006133488, 0.6613040191626121]","[251264561.40290534, 113420812.33577241, 42233243.02165996, 117741779.11458424, 155363297.6021385, 238755500.72748762, 233916645.26999718, 156106249.96286952, 169823576.7166347, 199880197.20242128]","[3.516674556645105, 1.6319655906145236, 1.6927739492545515, 3.150974050691018, 1.8185862941803204, 2.337792769702467, 1.9261223580055469, 1.6881854822166569, 3.383733465719206, 4.033097222737355]","[0.5433045823854494, 0.26689607957790956, 0.2229145656262195, 0.3718306727354659, 0.37472397582076067, 0.2844800372930406, 0.2463725870621291, 0.3887674023368219, 0.3750748505131198, 0.21886344374251035]"
4,best_dt,matmul_serial_normal3loops_omp,"[0.8639919584704214, 0.8386944074006373, 0.7484254065497856, 0.8519467143646713, 0.8468975558845386, 0.8418517134525054, 0.8528146500581871, 0.8416892586750957, 0.8411873783368125, 0.8719286692858095]","[42338621.60747928, 23457455.76551194, 39565086.210938655, 16389331.866904592, 43941241.29833278, 32994010.698097624, 25116925.811035305, 26764397.13552226, 25389603.33279888, 17869993.945375945]","[0.37468216937425225, 0.1849695723112498, 0.19914297809813686, 0.5111059167922751, 0.180778992329256, 0.17775001205338478, 0.1641855920182499, 0.18113277514591014, 0.245826492243587, 0.2646388219826862]","[0.2970003714531377, 0.2590243208251913, 0.28960489308144954, 0.2559756360159194, 0.2308230536768381, 0.20964103705112586, 0.2327226755453643, 0.2095812487955731, 0.25150263376126414, 0.16778903757077404]"
5,best_rf,matmul_serial_normal3loops_omp,"[0.9166673581482401, 0.9826331865397135, 0.9675319144728006, 0.9563218977907932, 0.9705542055639969, 0.9700135884798315, 0.9715418671710164, 0.9640368270074928, 0.966262138991522, 0.9623506255087814]","[22897836.067152493, 2699403.7426460036, 2285105.0231481446, 7130623.7860809285, 7481438.1119721085, 3993927.8089204244, 3069780.2867798335, 10339607.71733376, 11791171.37424936, 4847897.419391864]","[0.22717990283347966, 0.0723638651669635, 0.14774715045007736, 0.1378673297511045, 0.09442863518227126, 0.10407200533697672, 0.09112249319391769, 0.07638581919595139, 0.1153491236104464, 0.10403330077507836]","[0.2782879245591897, 0.07920349040516507, 0.12507954897975976, 0.13674244730061305, 0.10886067838854967, 0.09776633675446228, 0.09759018596215528, 0.09163571619703156, 0.11393645481265059, 0.0910847446710428]"
6,best_etr,matmul_serial_normal3loops_omp,"[0.9085406457881187, 0.9955273487933041, 0.9864436502192235, 0.972724549148218, 0.9750199452710471, 0.9923584464366431, 0.9895220530962343, 0.9708687046644531, 0.9680308717083519, 0.9783510835915431]","[40760621.53562696, 1203759.8418268254, 1856904.1563240658, 12737258.130584348, 14733936.170832608, 2163685.246264015, 2506189.474363248, 12728200.684311597, 18923095.257481646, 5045749.839436456]","[0.23011398610348796, 0.02497178360720529, 0.0664484947302121, 0.059991152946278686, 0.025275078464663918, 0.0240459596712191, 0.0128014778801169, 0.028936872636495255, 0.0638376302883398, 0.03649923462547046]","[0.23160474329344888, 0.010996208348723648, 0.02427788278281316, 0.031060936853085523, 0.028588774097668863, 0.015872317290195274, 0.02089585196815667, 0.02667313619400395, 0.02630986099608039, 0.03163824718502354]"
7,best_dnn,matmul_serial_normal3loops_omp,"[0.8900808805047093, 0.898399277540267, 0.8952797544554244, 0.8765540742142985, 0.9416363386851794, 0.9246896754087965, 0.767763906479529, 0.8276750333649131, 0.9399585646681708, 0.6460469597342575]","[101167301.0234351, 18185746.015647124, 34308443.887580276, 21730693.727405544, 22422408.53164651, 24140716.01547314, 83846691.51061136, 53808925.6251147, 49081497.440391846, 273840744.91611814]","[0.3696840826427638, 0.6073068685545308, 0.9635993940394989, 0.9058179563693405, 0.8652737383187821, 0.460365981628379, 2.5417864526816727, 1.117067562435894, 1.0573653752233754, 1.0550503795456867]","[0.22686947302937352, 0.13167696307483936, 0.14207667488967893, 0.13439850832258246, 0.1265252611610868, 0.15275451402739265, 0.15029061562778023, 0.15304977012256685, 0.08525103229424832, 0.15893102327184117]"
