,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,sdvbs_mser,"[0.8613929397498443, 0.7317843412979088, 0.7000382930554264, 0.7527061790356219, 0.7676369736348466, 0.8032276954262925, 0.758068058545877, 0.7115278231354083, 0.7743485834457466, 0.607793916505536]","[154434.7550752455, 387192.75443872606, 516477.7221439091, 400947.10657233436, 474373.17782229726, 235455.81257843977, 682107.8395759813, 386184.4962918327, 499591.18623187323, 582991.0314120576]","[0.06153069136386175, 0.12274319032630589, 0.1568693877926851, 0.14176911712655246, 0.10854078703369228, 0.09697097009944379, 0.15400385791918783, 0.11031405805533577, 0.09943525033619881, 0.17051815761538383]","[0.059735906098241046, 0.1490340752130551, 0.0806109004222897, 0.17063810053753573, 0.1997842897710618, 0.18044938189551857, 0.13867510756644807, 0.14112488477931254, 0.11646585830871486, 0.17306812158469423]"
1,best_rr,sdvbs_mser,"[0.8612096890832682, 0.7327063708290887, 0.7037435928182243, 0.7554065687856779, 0.7675933247906955, 0.8024497471208852, 0.7591805100639455, 0.7225072099197112, 0.7737209322503451, 0.6065496231230413]","[154700.5450728929, 386079.09623647283, 510422.22675056977, 397265.23847764963, 473371.7504076617, 236417.6808342347, 680392.3487008358, 370689.1802034476, 500664.43638101936, 584937.3151666934]","[0.06179102944156904, 0.1227551644707022, 0.1561917913989074, 0.14112001592636622, 0.10838411092884845, 0.09767156384554992, 0.15393043945688123, 0.108856515849665, 0.09998198419788848, 0.1703894371965623]","[0.059296789532475254, 0.14753801069079128, 0.07907145655936942, 0.1716265545069118, 0.20352200010034982, 0.1837036850018136, 0.1397296251401556, 0.1353749540428879, 0.11916932586051164, 0.17962523364932997]"
2,best_knn,sdvbs_mser,"[0.8597846669894319, 0.6822014409556911, 0.71783055168258, 0.6974689544886525, 0.7915035021470245, 0.7111598427317805, 0.7494012255995819, 0.7459634549817411, 0.7605069602803345, 0.6065328269285403]","[172974.42901307746, 465523.48618847737, 488262.3179410235, 493505.6467017422, 418993.69226564583, 350484.66940965195, 714431.1516471109, 338598.3814988102, 522749.6546276012, 584676.187546256]","[0.07017011409950646, 0.14043602924998413, 0.14864903939890092, 0.15464343789138768, 0.10609264665151982, 0.1133106780008491, 0.1594484882847473, 0.0965816350671065, 0.10428251582584357, 0.17039067755086934]","[0.05161646391664793, 0.15949817263431013, 0.08065358659642251, 0.1964018950376781, 0.18185741338039152, 0.2111121119988152, 0.14596049073741588, 0.14133614173758766, 0.1306212337123862, 0.18264774449373072]"
3,best_gpr,sdvbs_mser,"[0.6261565409771767, 0.41236419971529703, 0.4750422116369155, 0.4252268152373301, 0.6386198293615105, 0.3658715791808565, 0.6529232941359706, 0.5618239916777876, 0.5763931383952814, -0.20476188200942402]","[258054.6609712329, 398413.7023284318, 529027.3055553925, 730260.013126697, 666077.1045643796, 589099.3739763299, 769956.3743869311, 434266.6061641987, 651535.7175236107, 407427.70225518645]","[0.13609229268726766, 0.1443514722512524, 0.17619922873050403, 0.2020341717956075, 0.21125714369432472, 0.1952959758585289, 0.1897959993347658, 0.1951891108103429, 0.13846418946907202, 0.16928592390282485]","[0.20208438423391575, 0.5607410083285013, 0.4347763627346691, 0.5519689054926347, 0.33561490337914146, 0.6784766235178871, 0.4163633585868688, 0.3792335107561989, 0.5111282247475528, 1.1882715487813986]"
4,best_dt,sdvbs_mser,"[0.8523610926598173, 0.7340673378516036, 0.6976007923595258, 0.6763537582105219, 0.736976614805637, 0.727318054391328, 0.7470899418234469, 0.7675550860784022, 0.7048551698962594, 0.581768781511927]","[135387.76987944162, 385319.84270975913, 514606.0611911088, 517297.5998605442, 548727.1727867468, 316973.5869047277, 737913.5191332342, 81549.54807643461, 662787.2003761396, 573573.0807983807]","[0.05645198893945413, 0.12385019040399531, 0.15613431441076225, 0.14735054087507152, 0.10613661935114016, 0.10295861505577847, 0.1662412632628586, 0.05485232810893251, 0.12700008213688502, 0.1752322103216333]","[0.09135694801406653, 0.12177961721423465, 0.08460304991272216, 0.16958986218534006, 0.21588529762057018, 0.2771466981219722, 0.1096923850134338, 0.33201107034669386, 0.14987354002451247, 0.2770235501091713]"
5,best_rf,sdvbs_mser,"[0.6250307671873183, 0.5568280140228166, 0.6863321040581984, 0.7520788417443793, 0.7957466962787764, 0.7348227955632107, 0.6015015084720985, 0.8280725895064589, 0.7380391642828992, 0.546866621131118]","[73024.88188794571, 311241.5156097021, 291906.59391831106, 239809.96630722642, 195728.34916744407, 162993.09991033972, 536253.8462241305, 124304.25721595118, 387970.6045757277, 441857.0205863862]","[0.049840918663327766, 0.11754165054552647, 0.11903383444553367, 0.0949021986963908, 0.065671174222017, 0.07481697019331214, 0.13395005997058596, 0.06735330479121228, 0.0804860252421106, 0.15252630075609205]","[0.11790809785003252, 0.2674021750922104, 0.18296554553839853, 0.43387932414851493, 0.4997966575676456, 0.5553344742443097, 0.41554292689560285, 0.3097118942718856, 0.4648742686590453, 0.5959777638991983]"
6,best_etr,sdvbs_mser,"[0.8584857662828924, 0.7840230886869645, 0.7818325308301258, 0.7980086128178483, 0.9164975575699692, 0.8428497080914039, 0.7730072302204403, 0.884639128650184, 0.8534036985583007, 0.7153708248714971]","[139349.44648539944, 310761.46606391354, 370347.57347027963, 336834.6476501476, 165900.33323916438, 181612.07472690355, 638985.2200934263, 144594.63079972524, 333685.36565616593, 412759.865497725]","[0.05602882303204708, 0.11671924148304207, 0.12478962570603369, 0.1224532858085585, 0.06095488369198221, 0.07538666375410857, 0.1464927269169153, 0.060526944329895055, 0.07187141324352284, 0.1482969801755993]","[0.06746197807186499, 0.10180285140827615, 0.0714329182172191, 0.13634668474284375, 0.11023313391426957, 0.13012706419906014, 0.12034033598559474, 0.09161710008384207, 0.05977428448782182, 0.17732037048374186]"
7,best_dnn,sdvbs_mser,"[0.7629031285410384, 0.7275281193130377, 0.7405057226587359, 0.7547538097099407, 0.6379568854735032, 0.7202294805192874, 0.7617977635063921, 0.8879080274334928, 0.8502820265687778, 0.5359077480606849]","[130181.9864344397, 368161.81668669026, 416694.52083120437, 368139.4157384119, 771707.2617937133, 362892.9303387101, 668362.6433734158, 130079.39420782017, 301756.96602797473, 502583.36328700674]","[0.08386662272145418, 0.1270961486897805, 0.14834510410016272, 0.13998104579893272, 0.18229726660032208, 0.12201919821856269, 0.22194198978628277, 0.07977194337624181, 0.12657322484328326, 0.17996876042452803]","[0.15553946816267586, 0.11663558751765933, 0.12850807515857074, 0.2058215969299004, 0.16789132642347376, 0.13782435481710184, 0.14983542068556063, 0.12139684359133915, 0.17112882173614274, 0.27602635893125]"
