,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,sdvbs_stitch,"[0.9267444976992953, 0.8184332472175102, 0.9254421101903632, 0.853170186482402, 0.9758660834163827, 0.8248897690927366, 0.8240657871811155, 0.8563698843240681, 0.8370208910669993, 0.5898757627753825]","[1221502.0745926383, 2415758.115212108, 987760.7674941265, 1755097.7202645524, 164720.90247366484, 2308286.43810754, 5617772.871190774, 4053615.0480646705, 4248837.049665772, 3185995.289485011]","[0.03926224444179408, 0.06777012840676437, 0.044633497033797584, 0.05004562345719174, 0.02413342633247527, 0.06332839696371334, 0.06969203621593735, 0.04183301986563088, 0.04594054402158585, 0.08288678804563337]","[0.037957263669374026, 0.07587094536115493, 0.039759770573660994, 0.05850902450985151, 0.05799098325896163, 0.042577682817982236, 0.10574203993858466, 0.0983047679356725, 0.09158970621753472, 0.08621315189222348]"
1,best_rr,sdvbs_stitch,"[0.9175071653473041, 0.8898309680756931, 0.8453567998070011, 0.7472040610922472, 0.8331899506280493, 0.7272338052981866, 0.7232234961874302, 0.7390846139209308, 0.6988199926920047, -0.30272793169536505]","[1419514.4205398771, 1433467.6252489756, 2179681.0734428205, 3075141.9392091185, 2588409.9637252684, 3659708.2842044123, 9327708.726649018, 7809587.379602782, 8070844.073477959, 10741727.554446518]","[0.050101008280482986, 0.059786363796306176, 0.0696692839153281, 0.08929158033134688, 0.08611034860151343, 0.0992861611104809, 0.10656617267890113, 0.07986795958841825, 0.08731325662314328, 0.21150073430744964]","[0.037427972206320756, 0.05240185093022299, 0.052033145482407776, 0.060857111564931184, 0.044905030634244204, 0.034716209497221234, 0.11973764427135855, 0.11292494126732767, 0.09852145170011063, 0.09863392204387003]"
2,best_knn,sdvbs_stitch,"[0.9225668061387287, 0.8639009954274648, 0.9133112125485534, 0.9077694443209791, 0.9772559523681617, 0.892153436145092, 0.8355444296058865, 0.8697757143249278, 0.8454566920779685, 0.6015701265461421]","[1393703.3018499182, 1806827.1848742028, 1194437.443654051, 1091014.5566874442, 170955.71655353505, 1411273.0849682186, 5272071.336784403, 3720784.1334936735, 4023330.451002559, 3107169.813706674]","[0.04585305249398068, 0.07037256272249386, 0.05005141805073407, 0.04986715720354365, 0.022158872091774463, 0.04869183981589798, 0.06751778061583673, 0.040479686874157164, 0.052214197494815144, 0.0840488458001205]","[0.03561817903806435, 0.06145540078491214, 0.038679089282103264, 0.04781190446222494, 0.0519854018710763, 0.027004515967962484, 0.10202432172270268, 0.09365129044718538, 0.0866321028698667, 0.08168242080590783]"
3,best_gpr,sdvbs_stitch,"[0.6903252575591861, 0.49544977835791987, 0.6079739841945918, 0.637290367147848, 0.7453891087683189, 0.5986204437509008, 0.737684749205715, 0.6816895881131472, 0.6905194967910441, -0.5180756408502252]","[2576335.9247086598, 3154894.8989753528, 2337618.3374853986, 2995364.799920951, 2894385.1167571126, 2872084.52044249, 5725895.802202765, 4641132.57124103, 5004577.850119609, 3793508.798059641]","[0.08924700838093369, 0.08981110393395696, 0.08480874507600111, 0.0986585826178997, 0.10192059957269328, 0.1000579342571179, 0.11840590845647779, 0.09975211895840384, 0.09046052067987641, 0.10788841683917987]","[0.1936198265444104, 0.42605897124076203, 0.47328404067403124, 0.26200337884831826, 0.1633088746292283, 0.35008092676164765, 0.2536159388988357, 0.34843765402500315, 0.356893454244513, 0.8426722151512784]"
4,best_dt,sdvbs_stitch,"[0.8351216155145886, 0.7074112988571648, 0.671435123467523, 0.7312019316921516, 0.9505195078589646, 0.6964994772176573, 0.5588971714225606, 0.5942437159952095, 0.6287062733180169, -0.04694584313782396]","[1290151.5243516637, 1518763.3503973817, 1514632.7007613517, 800346.9338484495, 192045.0965681506, 1537955.688973231, 5264131.476881247, 3714607.744333961, 3861214.5532360706, 4791877.172186109]","[0.04181927907368973, 0.05991979004721855, 0.058384332026485276, 0.046923384087381725, 0.022620344183650477, 0.055408003860252915, 0.06797856803334935, 0.04081505641023881, 0.04587749792512432, 0.10666031797890675]","[0.0923941229869787, 0.2357662147995409, 0.3426586318784134, 0.23937104741422524, 0.0936272447327342, 0.22025221612844123, 0.39889336995773517, 0.38948991911545927, 0.38683887013336604, 0.34784241081889833]"
5,best_rf,sdvbs_stitch,"[0.7633461785941431, 0.8075791899538347, 0.783985860741016, 0.9731012738041601, 0.9829581394704876, 0.9781268830222725, 0.8308969810234725, 0.9506650082560462, 0.9236717831341339, 0.8185684770755896]","[1927792.3194106251, 1537573.3400563155, 2117038.421122061, 316353.2317360938, 196199.7951820571, 241512.23176411385, 2560834.978977002, 1417088.338815801, 2019261.0585298915, 1468011.8555034194]","[0.05207920834288209, 0.05052094312431674, 0.057579449703865554, 0.027562177895746113, 0.01907697138607141, 0.024094357331652962, 0.05052513689477151, 0.03344456367487387, 0.04411321363481819, 0.054888886406769914]","[0.0807230876802181, 0.09746252152252662, 0.05492618296058891, 0.025381956597204033, 0.035642935820226256, 0.04937439478634053, 0.09436625198566798, 0.05959093260885415, 0.053067685285548505, 0.04100166768802959]"
6,best_etr,sdvbs_stitch,"[0.905093602819321, 0.8513654880595832, 0.9112286300180312, 0.9203311951224911, 0.984856403342232, 0.8837154977165314, 0.8473468871295294, 0.9022334795473965, 0.8874251615861646, 0.8097298808411346]","[1382742.4507334752, 1809302.5978786817, 1050346.3664431763, 908401.8336820122, 123381.80661406928, 1443473.8827586002, 4039232.4056775267, 2367736.7640598, 2539100.335820146, 1492044.3047885713]","[0.04235402177580806, 0.06410850979100308, 0.041519983289426264, 0.043253802307406726, 0.01845857945274704, 0.049558280115956956, 0.06200062676609228, 0.030515061154818394, 0.03894623586887934, 0.058242195963293206]","[0.04188340191301894, 0.07842263553010931, 0.06590800904138606, 0.06237808439071246, 0.04431523401457185, 0.049426326371745814, 0.1327778158124303, 0.11705283615691665, 0.13678740214044038, 0.07871032906353813]"
7,best_dnn,sdvbs_stitch,"[0.7100145407956665, 0.9152769781240822, 0.8117534800370264, 0.8889114718261368, 0.33650833019865956, 0.9284408727536739, 0.784106809079341, 0.9557969152946508, 0.6686575386771214, 0.8181404289167091]","[2890886.376534916, 962445.2868391402, 1558760.4700765337, 1194912.1876044392, 2359453.1743968395, 810097.829121388, 1933129.1693040684, 762682.0029616507, 11007303.177808689, 1133424.1723540858]","[0.07158177163690409, 0.057205511189421826, 0.08361097195025642, 0.06538883942405162, 0.11075642793444224, 0.052832030438341004, 0.05057719597695732, 0.052787138441294616, 0.15720929513156892, 0.07174362513270692]","[0.09394973781737269, 0.11585940685470529, 0.1734190691648233, 0.04181037601581655, 0.13493829160250062, 0.03424049804240787, 0.07997333836664489, 0.037404866368250085, 0.14026695156149008, 0.2554143217827592]"
