,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,qsort_power,"[0.8643637703182163, 0.8826021633919812, 0.8783563343395067, 0.8742652336137747, 0.8654522340679396, 0.8739644946812875, 0.8848776275928186, 0.8681121696564098, 0.8728138311413118, 0.8724400781948061]","[64034.04843727487, 67382.98944483213, 73037.17594876379, 71419.27269654654, 64817.52704501581, 64434.28197177523, 53690.2462176254, 61332.61024250172, 63962.09904500169, 57628.90710939386]","[0.1753014815371122, 0.17068884146361812, 0.2014950063231629, 0.18213114606422237, 0.1908444654439584, 0.19672794568792912, 0.19538363760461758, 0.19809734636186294, 0.20473389021222918, 0.16842334466829087]","[0.5759801514598406, 0.5071202368966611, 0.6361610791895318, 0.5262650766092348, 0.5354536168886219, 0.564578026715863, 0.5202297844777283, 0.5973474619122626, 0.5634567272102612, 0.5066594601259629]"
1,best_rr,qsort_power,"[0.8645494310749122, 0.8825528190959228, 0.8786292774018942, 0.8740477236600876, 0.8653200791328113, 0.8741305502810788, 0.8848305836575354, 0.8678202583500729, 0.8727426756427253, 0.8722868833424873]","[64021.45523844813, 67429.41338465853, 73061.6071986985, 71427.85735018783, 64851.76974870056, 64414.47932340358, 53674.377844105504, 61317.012312428444, 63919.86129751167, 57633.96065055241]","[0.17499296474865145, 0.17044185375614707, 0.20114881072828145, 0.18192652397714618, 0.19061968631126905, 0.19648651093244626, 0.19507996393704638, 0.19786020254424874, 0.20445382878032117, 0.1681964580494008]","[0.5713679003429618, 0.5032173121762626, 0.6309200484485779, 0.5214841880598468, 0.5316913652103441, 0.5581981500891147, 0.5156456277824129, 0.5932715337901147, 0.5580965887751378, 0.5020062419060227]"
2,best_knn,qsort_power,"[0.9208338588932562, 0.899189637237999, 0.919738267496262, 0.9352257311837919, 0.923497660904042, 0.9131757103034346, 0.9289732873901668, 0.9415568205945526, 0.9372888127458665, 0.9319956952384654]","[71772.66515682662, 99260.35303215019, 81975.10507265187, 64710.603155300116, 75037.57876690508, 79057.00619910394, 62806.97400108421, 54969.00593888526, 54247.12308189656, 59143.90208677617]","[0.11205087755152834, 0.10797975572701522, 0.10179923180870634, 0.10021090349255023, 0.1011953006529141, 0.11072337259710092, 0.10126633591775794, 0.09692922063526851, 0.10245287695681912, 0.09761838376179922]","[0.12551292636141256, 0.11721093502459193, 0.11457396685789846, 0.11050116583782656, 0.11489750327906298, 0.12418174524250768, 0.1154766476589983, 0.11065144032723388, 0.11487295873748424, 0.1052533973798453]"
3,best_gpr,qsort_power,"[0.8775419959051818, 0.8352862231043842, 0.8590899898495392, 0.8353905739006604, 0.8635530378363503, 0.854209604827797, 0.8811472716509539, 0.8760293145930251, 0.8939514769048613, 0.8863540202300616]","[99959.58082599909, 159723.27756031274, 130565.28467428197, 184749.6186944217, 111141.06517685018, 130968.56532038693, 99329.31596104665, 118585.85275943411, 75194.40028311397, 80608.75883510555]","[0.2116470202759084, 0.2027773066639751, 0.19567888992111046, 0.19577386861052212, 0.22294061053166359, 0.19478218649676066, 0.21769801733929983, 0.21062662458631257, 0.2017005506714024, 0.19647097463174182]","[0.6665343826599075, 0.5488935515354638, 0.7009259125451456, 0.5900165256299135, 0.6073842737773906, 0.5803766603042377, 0.5873901768484939, 0.5934588440894352, 0.5954447792711546, 0.5713801532078551]"
4,best_dt,qsort_power,"[0.9999999992497366, 0.9999999993726751, 0.9999999993584682, 0.999999999244416, 0.9999999992483034, 0.9999999993467993, 0.9999974852871544, 0.999999999290013, 0.9998274493581991, 0.9999999992574277]","[6.299916947556537e-09, 5.302934708917338e-09, 5.485123366680923e-09, 6.545968885841664e-09, 6.562009013134077e-09, 5.542194193158355e-09, 2.569605539771519, 5.731254156000767e-09, 148.35239038165912, 6.179668556681664e-09]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012362926425426424, 0.0, 0.0015002482780820897, 0.0]","[4.0858049790153866e-05, 3.5327722770510714e-05, 3.908329154283859e-05, 4.4749960263567455e-05, 3.705546749790242e-05, 3.6115750451674804e-05, 0.00014557027275662792, 3.944062091327903e-05, 0.004632808642333273, 3.7228982914058044e-05]"
5,best_rf,qsort_power,"[0.9978406593766626, 0.999376425847367, 0.9987479379762282, 0.9992667416432186, 0.999498796199546, 0.9989872879317692, 0.9990339224610238, 0.9991494921731613, 0.9991881120907117, 0.9996477477577443]","[583.1726980729854, 41.50262374899771, 173.4421941422516, 28.741268216886443, 37.80255205267282, 148.7422517437989, 33.83176005168958, 28.609493584331492, 161.82717698249368, 45.79863233409782]","[0.0036627506536789063, 0.0012708446485267103, 0.0018192148743673532, 0.0012009492436420503, 0.0013481326819441946, 0.0013974041924975531, 0.0012574691672961676, 0.0012823201767195066, 0.0017567098383332715, 0.0012283682003578964]","[0.0898742339765038, 0.032640214141552736, 0.06538344669442749, 0.0433647141806354, 0.024141030472857806, 0.04731681409883708, 0.04644126388462808, 0.03878871808198787, 0.04337175320504534, 0.025191245396175878]"
6,best_etr,qsort_power,"[0.999693762176165, 0.9998526402686145, 0.9998777826373757, 0.9999159561020221, 0.9999047742147692, 0.999820576761948, 0.9998352244617678, 0.9998842229728545, 0.9998812709555074, 0.9998494198592394]","[0.14355156593661839, 0.055238491766204774, 0.05671069901658516, 0.04797902015420182, 0.04853397880401082, 0.1183904096171639, 0.0749221601464871, 0.05200873379452325, 0.10088943019415611, 0.06254425047393751]","[8.804191298911812e-05, 5.6463978781425367e-05, 4.713539067785472e-05, 3.726714242439536e-05, 4.31753865628172e-05, 6.551641405701399e-05, 5.413484898736997e-05, 4.566660256924801e-05, 6.210176169171887e-05, 6.0454187395951364e-05]","[0.016116228709674815, 0.006960199104675402, 0.006019904054437353, 0.00299803996620003, 0.003894183515663482, 0.009918462329998426, 0.008244556436444058, 0.004087306080839448, 0.005247765803773809, 0.006131287324379957]"
7,best_dnn,qsort_power,"[0.998134145269316, 0.9973872554165604, 0.9969349654808891, 0.9972892495476073, 0.9974640490738553, 0.9985453405702529, 0.9984137174893033, 0.9972528924565665, 0.9986885505785167, 0.9958957751423996]","[2236.942092665856, 2296.295906163151, 1344.683758671647, 3768.0556821419923, 2334.354192878021, 1741.865142705623, 1252.6832593888253, 718.5092808022963, 1070.0639680437585, 4420.782187190428]","[0.021716952722580597, 0.02828055077724673, 0.017310514009541283, 0.023604331306979955, 0.03186799002467096, 0.03618804070449425, 0.01934241056503963, 0.017488846159429253, 0.026069650395760566, 0.043313972863024096]","[0.05531454677639483, 0.0662926845274661, 0.14913451538744346, 0.04786069994545861, 0.10696758756333499, 0.030115005605553, 0.05136058960646534, 0.04825487517522049, 0.0443280720685471, 0.06397721022755543]"
