,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,matmul_power,"[0.8193912540238121, 0.8396271081521823, 0.8271241933598907, 0.8090992371051138, 0.8289174471739769, 0.8249101791740914, 0.8355380791219345, 0.8311703395624059, 0.8234079604374971, -0.9671086728890861]","[30449153.380329598, 30133697.0415898, 36358977.71641384, 26347033.842397243, 28709802.870888893, 35331619.33868688, 33096081.2232194, 25716540.61007873, 29655190.80559678, 48670211.82287255]","[2.957026882930689, 3.24627613660333, 3.889942669417356, 3.141094889822733, 2.8620514388153837, 3.398157299163401, 3.448907783700572, 2.895373777012649, 3.6382705708250245, 2.4990910182842954]","[0.5269293360311974, 0.7753105381092336, 0.6462278310536087, 0.5840916900067705, 0.5926565679601105, 0.6863651573974593, 0.5408044236235271, 0.5863561779732798, 0.6513781773033831, 3.8272525117477394]"
1,best_rr,matmul_power,"[0.6704969888872, 0.7741995907729922, 0.6886659896299829, 0.639917415509019, 0.6707567680677271, 0.7330279569970081, 0.7426022573429567, 0.7159622259390634, 0.7543166002823565, 0.7331384436497077]","[38435599.2419768, 35184258.540057205, 43916450.4721752, 31391495.189397205, 35507931.80076899, 43419426.90317654, 37454807.21401122, 31479634.18840036, 34675768.06277361, 34284558.38180246]","[2.738114778819693, 2.8246491313645574, 3.386658066953517, 2.7900918214641006, 2.759071053700468, 3.124765213014476, 2.8065643282902837, 2.4327343805774584, 3.3390575431050005, 3.075293051288673]","[0.6963455409563513, 0.8446898964883424, 0.8360944131097531, 0.7023340263174599, 0.7591780758636609, 0.8606865804747281, 0.7564862096076097, 0.7577181622933867, 0.757886452188354, 0.915356973879567]"
2,best_knn,matmul_power,"[0.9219461713359991, 0.9486725399376161, 0.9382231705523203, 0.9517851878501535, 0.9377721162338188, 0.9276589364262442, 0.9493689783153962, 0.9400673824498594, 0.9573421846176293, 0.9382692691461114]","[12556367.73236363, 7915260.465006875, 9301647.695612727, 6161324.20783037, 10924561.339589473, 11207156.488758, 8281331.364953561, 9336235.441014176, 6267150.562535809, 8127543.517479391]","[0.12789014624194803, 0.11342485016770959, 0.12920535304697306, 0.12016700284375728, 0.12886051768162143, 0.12603225120468312, 0.11478698418113188, 0.12210267995393265, 0.11262577189233346, 0.12216918224212592]","[0.1054078982660358, 0.09958418843275528, 0.10542957810305657, 0.10099782813983484, 0.11168492693986609, 0.11150434973499211, 0.09963151583898668, 0.10438194166801373, 0.09980139788966498, 0.10219922201812841]"
3,best_gpr,matmul_power,"[0.8472693203598034, 0.8875878827132437, 0.8825901304486277, 0.8906191805145987, 0.903814769989683, 0.8547993017007856, 0.8990973332984495, 0.8910346332869931, 0.9036171031026776, 0.8909596147774101]","[23497761.162570026, 19799241.162235837, 22600278.84378357, 13557887.038125176, 14820501.608821742, 28083226.415040553, 15739310.531715987, 16049366.252927331, 13133352.105917323, 14442121.139322467]","[1.671777386313699, 1.5954770264297644, 1.93002168657982, 1.3233122021135726, 1.4444227149046194, 1.7848521923208316, 1.4499454847899234, 1.179746551840981, 1.914599322473525, 1.8048847733526738]","[0.6940468223614129, 0.7583373523879068, 0.6383869808778322, 0.7269688109057313, 0.6257221681718274, 0.7469426924966783, 0.551272798335416, 0.5655822762308121, 0.6337208211974961, 0.8903198737621334]"
4,best_dt,matmul_power,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,best_rf,matmul_power,"[0.9974318269671736, 0.9995338886132108, 0.9994028576347125, 0.9987469933855011, 0.9990753565671566, 0.9993087064094797, 0.9993850764366355, 0.9988786427761442, 0.9987322428285783, 0.9995642727078863]","[66669.42063344154, 24945.383494298334, 23093.120428949085, 13781.152876062406, 37348.110481664546, 40876.07721453209, 28668.514554843485, 20083.247847176703, 38764.14529996366, 15763.034519656085]","[0.005090778183458123, 0.0027536465975010645, 0.0024796094580761302, 0.002760532710789575, 0.0029571353917104345, 0.0033267262692017736, 0.0029729259228448482, 0.0028235435552721416, 0.0029377012543356416, 0.0027494991099577875]","[0.05383820334561195, 0.02995880939383603, 0.03175195800544862, 0.02704286710989202, 0.03287288949368904, 0.03127166104725196, 0.029652263741417325, 0.038057415983250555, 0.03697647751337564, 0.03091834841936176]"
6,best_etr,matmul_power,"[0.9956939470999837, 0.9965039532282811, 0.9963052052482974, 0.9956766067787126, 0.996477293872438, 0.9961599194782436, 0.9959780005691506, 0.9959454483970362, 0.9961717448327705, 0.9931140978809598]","[6637.068584226667, 6420.061904681843, 5714.101067203403, 5523.44128836179, 4839.434182120705, 7260.34486629577, 7978.387566377648, 6422.345564783556, 7762.38005881772, 4042.5864399253087]","[0.0024598516735389073, 0.0020706170403905037, 0.00187303767869182, 0.0021368762052505776, 0.0018855266748730446, 0.0020592475058912045, 0.002491806070438331, 0.001778671760908683, 0.002245148018245749, 0.0015772589809073235]","[0.04476457144937916, 0.03866118716640774, 0.038328027358919166, 0.039394625417319626, 0.03569048751170263, 0.05208270311272041, 0.04892900902169864, 0.044364529795014665, 0.04373961083678326, 0.061077728796316746]"
7,best_dnn,matmul_power,"[0.9951320175579399, 0.9954470544732004, 0.9973144420440081, 0.9937372313907571, 0.9890882827371512, 0.995360563795864, 0.9979281490342753, 0.9939880612804628, 0.9932345186428337, 0.9853281681964335]","[590690.7558680617, 889684.6133965069, 582510.2768334612, 429750.9892364191, 2580972.439203891, 615695.9760923663, 459463.3312348898, 666310.5937795877, 1203672.9632916823, 1615634.434099318]","[0.27870193740008425, 0.25583695227536907, 0.12081518434274643, 0.21072111042498232, 0.22731322910233717, 0.24088276926399932, 0.3544113020641393, 0.11573985905857534, 0.20549598627712695, 0.2502589953494312]","[0.07838644013444208, 0.07119079843473504, 0.08960959743714264, 0.1848597504110397, 0.07413664096161633, 0.10987014904247674, 0.06095850843671884, 0.16566858811507373, 0.08880020698720231, 0.20806569597385394]"
