,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,sdvbs_tracking,"[0.9133316610766288, 0.6743328036282993, 0.7367215296773029, 0.5666044800002058, 0.5330026752844605, 0.5659744095565034, 0.6441961295657682, 0.4547098857727811, 0.558878733540735, -0.3537093119023118]","[369292.675771617, 2619430.179047546, 2528209.2036986626, 2571635.3596524177, 3831143.453533282, 4355907.272148386, 2665811.8140670713, 5267745.856883397, 6171115.380351937, 14178732.334892355]","[0.05051729171203955, 0.11089287836078397, 0.09135710371948841, 0.1396982490297485, 0.15185541147675552, 0.12199112441652891, 0.1255607118036344, 0.11817148950775631, 0.14009657791129979, 0.3415446667452587]","[0.07083841506482053, 0.11853752730074656, 0.15878985863260667, 0.08008497535012139, 0.17071631130631598, 0.10940589911941703, 0.09326172285645974, 0.19531404637698113, 0.120891690986551, 0.2876716889031301]"
1,best_rr,sdvbs_tracking,"[0.8802402222943233, 0.7162773751850835, 0.831119255780093, 0.6927554122320363, 0.6151377955066186, 0.6848151888215614, 0.7211524995411218, 0.7893063678985526, 0.7272591808623772, 0.47991206669714515]","[600083.8148552722, 2285744.1616669996, 1644355.919976718, 1838306.861706891, 3214390.4980440545, 3023009.647087873, 2022024.0294174757, 1701740.0908600518, 3671946.65512013, 5295858.109396022]","[0.0566700372488832, 0.09100579296127932, 0.07466180368978902, 0.11195311618726929, 0.1487800372459781, 0.13385504908908133, 0.11948090050497823, 0.08380607695750265, 0.12917632710367682, 0.20828429941428891]","[0.08031079690774968, 0.10803370621412477, 0.106480461268628, 0.06640684345551326, 0.12554466215533097, 0.11077601714766966, 0.09479072172017479, 0.1718005275619701, 0.1270260700570132, 0.1879919216913761]"
2,best_knn,sdvbs_tracking,"[0.8359606228794524, 0.6896204467828774, 0.7725038885431034, 0.5329816249891124, 0.7749710756021058, 0.5443056490239535, 0.7014898540146357, 0.5414965743938485, 0.6229522926126354, 0.4664851206798245]","[757856.262101698, 2533059.608820357, 2137234.757674474, 2759306.5434431396, 1711979.2343719988, 4565587.882985179, 2180050.136873157, 4128399.5440874435, 5230838.106085858, 5112575.11675489]","[0.04940218062974804, 0.10635518044373928, 0.08974936469899274, 0.14617825505283524, 0.10205257449769806, 0.12356866241251696, 0.10460531527126245, 0.09641790505416767, 0.1403983120163852, 0.2165300628456842]","[0.10222384550227438, 0.10717717569397961, 0.1609981354926824, 0.09274125914337569, 0.1136149281858667, 0.11282284198489577, 0.0998172960766588, 0.23367815142279902, 0.14713272039738237, 0.26197534229574226]"
3,best_gpr,sdvbs_tracking,"[0.7690446403925233, 0.4776514133726826, 0.3813822037210357, -0.11997602196725382, 0.22464572653593085, 0.34039084176493367, -0.0766150402892678, 0.19337809113135696, 0.3081318629935017, -1.038447816635035]","[361578.284168649, 2184808.0564143476, 3263649.372507704, 6205810.909782199, 6377039.176952867, 5438451.752072161, 8148892.631115061, 6306135.342660039, 7546798.185199791, 7135880.814406701]","[0.05818274042908846, 0.0981607795980485, 0.12837913513990437, 0.2081793997488575, 0.243737056276402, 0.18504668973228686, 0.25406722552398686, 0.15099098804071487, 0.17817938331127045, 0.2545418200657314]","[0.19424736030758769, 0.41624416656743146, 0.6822962905281044, 0.24358920378490348, 0.2144816260737911, 0.3383273895578771, 0.19710346363844125, 0.44734537680668607, 0.44088514472441703, 1.0993848793483871]"
4,best_dt,sdvbs_tracking,"[0.9193942140506317, 0.6990346472693454, 0.6642372928211209, 0.580439544953085, 0.5601936250423079, 0.42076188365922845, -0.5686239367098657, 0.4575762082052976, 0.7429457132125987, 0.19326196070598345]","[297341.1784835679, 2411249.810999853, 2789600.9033142156, 2384865.8196199653, 3599137.410714455, 5925044.226967072, 8306201.375094277, 5075196.054084444, 3443153.2756738006, 8249102.732598618]","[0.03884227780289857, 0.08171022980506835, 0.10819504885754365, 0.12891814856910508, 0.13754704757927075, 0.13291410422876368, 0.3388167192146221, 0.11769067854769574, 0.10672243092382193, 0.2757735745572277]","[0.08000885934435042, 0.12898772262799987, 0.2542838965974259, 0.11870573047584759, 0.16644799766888052, 0.16226403867117387, 0.5102768063559069, 0.2616293811372329, 0.12791999306256574, 0.2618367512769781]"
5,best_rf,sdvbs_tracking,"[0.4575894029646295, 0.5321518559953788, 0.6138208377027715, 0.8801190349666614, 0.9203450930780832, 0.5814748165056025, 0.533354147118146, 0.6081633196961022, 0.7317715447053365, 0.714870131578552]","[1226195.510021625, 1974535.911968763, 1776318.561557267, 460278.92103143665, 559350.5998007727, 3330572.4579473045, 1564733.0048509052, 3040953.5180363776, 3483271.71428217, 1372991.4816780519]","[0.061463953257675834, 0.08689760966366394, 0.0775078559518061, 0.05269021836523769, 0.06296716531245862, 0.09767482679283591, 0.08597792041685823, 0.08914707854746183, 0.09712642356502538, 0.09750417705875501]","[0.17411433900104512, 0.24562174602739056, 0.28981856576216597, 0.14476797017202905, 0.08556164016754404, 0.2507031850442041, 0.15494757574505988, 0.3174580456654837, 0.1667715707380963, 0.3137774010177619]"
6,best_etr,sdvbs_tracking,"[0.887318554695592, 0.9338225052418629, 0.9700474529120713, 0.9930346186024894, 0.9913350715886202, 0.9420494754598204, 0.9925909746313291, 0.9629967216947868, 0.9799470697698247, 0.9754902298059818]","[323023.0010547458, 530451.2055269874, 272533.0695365983, 1560.665482522484, 18737.746160440172, 464591.05563651957, 8859.859404503339, 55823.27441161192, 289741.19916228205, 270128.3969194288]","[0.039701028387269764, 0.035048602200918204, 0.014620462299532892, 0.0023086867705051544, 0.008981080700058723, 0.03812863722420768, 0.006665721344624036, 0.014085657398268048, 0.01844105833680259, 0.012477817107187433]","[0.10665697965558335, 0.04216575812003699, 0.013337573260905906, 0.019200047369393982, 0.019704513804493617, 0.060087364362667796, 0.01913083281528098, 0.059499794326514914, 0.007162627895236243, 0.005649911001676514]"
7,best_dnn,sdvbs_tracking,"[0.786876737096216, 0.7556139958185053, 0.7130080670988574, 0.8784656637102279, 0.29116921176978855, 0.5694361743837724, 0.5980276885388384, 0.4907224371796412, 0.8207536102478581, 0.8007873322168333]","[620189.5826894549, 1859593.686386227, 2211780.3488859925, 566797.4241035427, 4754843.653274735, 5196783.388573002, 2074619.8875112608, 6738017.33499926, 1096914.3949954065, 2005726.6783569695]","[0.07877138100803924, 0.09443734404922847, 0.113203980395803, 0.07598045592744104, 0.17808536385861107, 0.14708990105633113, 0.12737064719196553, 0.11565656258537059, 0.1069697041044421, 0.13410553222947433]","[0.1013845092595577, 0.1598243315989578, 0.0855232828675933, 0.09860220543501474, 0.1912246143018863, 0.13111417464860767, 0.09240222499011418, 0.1238573543569018, 0.04904746704818899, 0.11380914739725907]"
