,model_name,dataset_name,r2,mse,mape_runtime,mape_power
0,best_lr,montecarlocalcpi_power,"[0.8094485097996034, 0.8096119658939592, 0.7830535804096871, 0.7909920408756608, 0.775638767892778, 0.7663661988168489, 0.799990532489949, 0.791051401022292, 0.8129851766876541, 0.8231551627709432]","[113833106.48031981, 93820279.4392519, 95563244.7304091, 96067458.48390897, 102297331.30654885, 107124642.43731315, 84678504.36606987, 103746599.28131367, 85665869.56897058, 85471713.0391411]","[1.4732328091741567, 1.7827973550762952, 1.9902680710279466, 1.6878071951258768, 1.4922422796943609, 1.5520217519893218, 1.551148133862685, 1.7188856180757313, 1.5896261511325984, 1.650125632722596]","[1.1350431010515227, 1.1805530565652271, 1.1268914200429803, 0.7901219761897693, 0.9010106016474935, 0.9439568686497511, 0.8504513263956651, 0.8703442360518343, 1.0697509342843377, 0.9221600331442186]"
1,best_rr,montecarlocalcpi_power,"[0.15236579125727617, 0.13763655565421207, 0.15264299049426944, 0.14192826852742452, 0.15763123769644488, 0.14677933344550198, 0.13155230303790044, 0.13801282555343586, 0.16430276983819597, 0.1537743108780691]","[296267285.6489804, 271537367.1143638, 233248941.7390837, 248693971.4433979, 236417465.7893758, 262837913.5464716, 213812381.5877529, 279378322.7873662, 253136442.21663365, 244355933.53183082]","[0.8674099758429515, 0.8550533303180177, 0.9291781275419526, 0.9340959947692511, 0.9348951855904457, 0.895077548265752, 0.8924863847717116, 0.943771415669975, 0.888412402335679, 0.8997255882828524]","[5.823227795990795, 5.807484086916534, 4.961419844890856, 4.508832536131255, 4.884765185752455, 4.594150297107264, 4.1774036471497995, 4.325535402741541, 5.1939752521201665, 4.941301937681108]"
2,best_knn,montecarlocalcpi_power,"[0.9580241247609613, 0.9597436412840605, 0.9594787032106842, 0.9588262940256806, 0.9600607089175002, 0.9471998317573045, 0.9567858314769775, 0.9560855025088851, 0.955865745988236, 0.9421208556881807]","[15387773.84830777, 10789802.605336573, 10215615.877693491, 8717412.363741979, 8551628.67582012, 15360452.186290167, 8712823.462803282, 11365876.77880045, 10301835.028939499, 13200693.29138592]","[0.11512215368828596, 0.11402691188471024, 0.11944962126646229, 0.11435968684134666, 0.1124437148071963, 0.10989867454038064, 0.11622957365102314, 0.1188312624882694, 0.11910115269708078, 0.12716899860613506]","[0.09974446616448648, 0.0968053306506817, 0.10132799014603348, 0.0950788503194401, 0.09690886832775188, 0.09376532395560822, 0.1052218349595848, 0.09658997775525774, 0.09912980337831281, 0.10578015091023174]"
3,best_gpr,montecarlocalcpi_power,"[0.8840138286148687, 0.8711222731488669, 0.8941750903093482, 0.8221523598473663, 0.8704640483769337, 0.8526037270066049, 0.8420378242620588, 0.8910764263459228, 0.8764524810703829, 0.8924787875993248]","[59671065.564732425, 49684269.91482495, 31646370.623229902, 80995480.18659082, 50107294.71694305, 47546544.00034641, 54287868.7991803, 45237727.510060355, 50407605.72965661, 34189008.578703515]","[0.5267000896409504, 0.5515455671218578, 0.8081740271495971, 0.6212877594464278, 0.5936222568156598, 0.7151157180742278, 0.6354749427567687, 0.674034779924259, 0.5761617007806515, 0.5540179868203112]","[1.4322914470650612, 1.4893711133351513, 1.0827385708511663, 1.2275987195505023, 1.324509635940261, 1.5573474187044671, 0.9722066629489653, 0.9156587138355966, 1.4133385630382158, 1.0544874905966803]"
4,best_dt,montecarlocalcpi_power,"[0.9999999999940468, 0.9999999999986067, 0.9999999999966334, 0.9999999999940292, 0.9999999985367902, 0.9999999982997065, 0.9999999443446549, 0.9999999999967297, 0.999999999996793, 0.999999999996824]","[1.5225548510348458e-10, 3.226080600186858e-11, 7.946855427211827e-11, 1.433716079837032e-10, 3.5905410659894346e-08, 4.162687328628326e-08, 0.005495808574776301, 7.814925397364672e-11, 7.96829334302766e-11, 7.899987566749931e-11]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7840946931856023e-06, 0.0, 0.0, 0.0]","[4.629997204846701e-06, 1.3444240035499204e-06, 2.8448980042878536e-06, 5.048397991378077e-06, 4.077521652066623e-05, 5.005941245434946e-05, 1.3758358147303972e-05, 2.706871990286819e-06, 2.829958540534253e-06, 2.9922925327405738e-06]"
5,best_rf,montecarlocalcpi_power,"[0.9402677136651494, 0.9274796707141673, 0.9036547543729054, 0.9271177325848428, 0.9076630209397019, 0.908564394562662, 0.9361153998512677, 0.9159751832904919, 0.9209721633628037, 0.9483900173726749]","[20645.43606884313, 9686.390483096953, 11802.111055125717, 11891.89327462795, 11596.47965808168, 11337.043434905228, 9998.027297357496, 10736.462063493522, 15408.570116381383, 14804.408462980624]","[0.007713377493584561, 0.007193653806921707, 0.007680273251800946, 0.007127209271071687, 0.007348066707802991, 0.007275544922224799, 0.0070841349294375675, 0.006636641675438881, 0.007198040070563393, 0.006904609154713136]","[0.3363871844735018, 0.33957128862485697, 0.40565064528612366, 0.325067438452047, 0.3707410831895752, 0.37134875993536237, 0.278557717608869, 0.3756613554601408, 0.3560811561324615, 0.3136582712762864]"
6,best_etr,montecarlocalcpi_power,"[0.9987781443250066, 0.9981683811409217, 0.9968981687661675, 0.9977642136975469, 0.9970852091048803, 0.9961886663227425, 0.9966454521444457, 0.9974186331095899, 0.9960863283930081, 0.9984158199826841]","[832.5531290153399, 1422.8029350281133, 1407.2339828335155, 1445.1469972558482, 1255.7388022249438, 1401.3743397601836, 989.1479162587887, 1395.9716908667956, 745.970056121359, 923.9528475702167]","[0.0006943579079886309, 0.0009564940971270825, 0.0009311174682657591, 0.0008592439943923984, 0.0008793444900571099, 0.0009101036780617132, 0.0008903908481674145, 0.0008413935146049286, 0.0007882088457457601, 0.0007809288223968447]","[0.02460333308654736, 0.030952785726475137, 0.032445751264677775, 0.022880775306741076, 0.029543979228643616, 0.03587984000396808, 0.02913514574875875, 0.030535574075953868, 0.035487273395765885, 0.019761603793943663]"
7,best_dnn,montecarlocalcpi_power,"[0.9958960287706026, 0.9940884983718232, 0.9948863470514615, 0.9958401541100298, 0.9975559880135744, 0.9954840312072555, 0.9869951766609506, 0.9978003196891458, 0.9926343508502021, 0.998538693318497]","[1696842.5258429872, 1536755.8560916628, 1290928.975002521, 2504486.2435258366, 1203285.5894292665, 3140787.8528276496, 4700978.661937458, 780539.7352098917, 4580634.574521744, 513111.09876265726]","[0.14186017947983065, 0.25344910509973656, 0.09624971408327387, 0.0864254358103195, 0.07083151758749215, 0.08708391751268284, 0.11046192476106442, 0.06531666343968823, 0.10781020624317098, 0.11732504290518203]","[0.3497361317192296, 0.18880027928912446, 0.2241069574331491, 0.09845590291867896, 0.0792922419576073, 0.07005567540707203, 0.5150793748372045, 0.15742774456496822, 0.10676256949504517, 0.1239999788887134]"
