arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,PS,runtime,power
AdvMicDevBuldzrFX6130_DDR31866_6GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,6,DDR3,1866,6,500000,7662,1.79976
AdvMicDevBuldzrFX6130_DDR31866_6GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,6,DDR3,1866,6,1000000,15321,1.8052
AdvMicDevBuldzrFX6130_DDR31866_7GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,7,DDR3,1866,6,100000,1535,1.75973
AdvMicDevBuldzrFX6130_DDR31866_7GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,7,DDR3,1866,6,500000,7662,1.79976
AdvMicDevBuldzrFX6130_DDR31866_7GB,3.6,X86_64,4,64,1,16,16,64,1,1024,64,64,6,8,7,DDR3,1866,6,1000000,15321,1.8052
AdvMicDevBuldzrFX8100_DDR31866_2GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,2,DDR3,1866,8,100000,1971,2.32127
AdvMicDevBuldzrFX8100_DDR31866_2GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,2,DDR3,1866,8,500000,9839,2.36602
AdvMicDevBuldzrFX8100_DDR31866_2GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,2,DDR3,1866,8,1000000,19679,2.3719
AdvMicDevBuldzrFX8100_DDR31866_3GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,3,DDR3,1866,8,100000,1971,2.32127
AdvMicDevBuldzrFX8100_DDR31866_3GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,3,DDR3,1866,8,500000,9839,2.36602
AdvMicDevBuldzrFX8100_DDR31866_3GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,3,DDR3,1866,8,1000000,19679,2.3719
AdvMicDevBuldzrFX8100_DDR31866_4GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,4,DDR3,1866,8,100000,1971,2.32127
AdvMicDevBuldzrFX8100_DDR31866_4GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,4,DDR3,1866,8,500000,9839,2.36602
AdvMicDevBuldzrFX8100_DDR31866_4GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,4,DDR3,1866,8,1000000,19679,2.3719
AdvMicDevBuldzrFX8100_DDR31866_6GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,6,DDR3,1866,8,100000,1971,2.32127
AdvMicDevBuldzrFX8100_DDR31866_6GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,6,DDR3,1866,8,500000,9839,2.36602
AdvMicDevBuldzrFX8100_DDR31866_6GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,6,DDR3,1866,8,1000000,19679,2.3719
AdvMicDevBuldzrFX8100_DDR31866_7GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,7,DDR3,1866,8,100000,1971,2.32127
AdvMicDevBuldzrFX8100_DDR31866_7GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,7,DDR3,1866,8,500000,9839,2.36602
AdvMicDevBuldzrFX8100_DDR31866_7GB,2.8,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,7,DDR3,1866,8,1000000,19679,2.3719
AdvMicDevBuldzrFX8170_DDR31866_2GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,2,DDR3,1866,8,100000,1414,2.07155
AdvMicDevBuldzrFX8170_DDR31866_2GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,2,DDR3,1866,8,500000,7056,2.11032
AdvMicDevBuldzrFX8170_DDR31866_2GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,2,DDR3,1866,8,1000000,14108,2.11569
AdvMicDevBuldzrFX8170_DDR31866_3GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,3,DDR3,1866,8,100000,1414,2.07155
AdvMicDevBuldzrFX8170_DDR31866_3GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,3,DDR3,1866,8,500000,7056,2.11032
AdvMicDevBuldzrFX8170_DDR31866_3GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,3,DDR3,1866,8,1000000,14108,2.11569
AdvMicDevBuldzrFX8170_DDR31866_4GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,4,DDR3,1866,8,100000,1414,2.07155
AdvMicDevBuldzrFX8170_DDR31866_4GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,4,DDR3,1866,8,500000,7056,2.11032
AdvMicDevBuldzrFX8170_DDR31866_4GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,4,DDR3,1866,8,1000000,14108,2.11569
AdvMicDevBuldzrFX8170_DDR31866_6GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,6,DDR3,1866,8,100000,1414,2.07155
AdvMicDevBuldzrFX8170_DDR31866_6GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,6,DDR3,1866,8,500000,7056,2.11032
AdvMicDevBuldzrFX8170_DDR31866_6GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,6,DDR3,1866,8,1000000,14108,2.11569
AdvMicDevBuldzrFX8170_DDR31866_7GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,7,DDR3,1866,8,100000,1414,2.07155
AdvMicDevBuldzrFX8170_DDR31866_7GB,3.9,X86_64,4,64,1,16,16,64,1,1024,64,64,8,8,7,DDR3,1866,8,500000,7056,2.11032
