arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,PS,num-cpu,bus_speed,runtime,power
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,250,6,4096,7829.9506,69.54467886
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,250,6,4096,13414.575,64.08644329
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,250,6,4096,7650.0637,43.85320347
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,250,6,4096,5425.6885,53.37680186
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,250,6,4096,4326.130999999999,58.25960887
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,250,6,4096,4032.4349,72.0052294
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,250,6,4096,4340.2109,74.92336375
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,250,6,4096,4788.1255,79.3971879
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,250,6,4096,4319.460999999999,70.7728117
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,250,6,4096,4493.0583,72.24682573
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,300,6,4096,25838.5682,27.72788316
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,300,6,4096,7365.493,77.65488339
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,300,6,4096,10344.0776,74.14381733
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,300,6,4096,9415.0774,71.36741117
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,300,6,4096,13102.8644,45.00520512
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,300,6,4096,9347.6547,51.96798722
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,300,6,4096,7753.397,62.26162545
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,300,6,4096,6732.2133,71.73940849
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,300,6,4096,7584.7186,74.71512523
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,300,6,4096,7955.392,75.76654928
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,300,6,4096,7721.2824,75.10027091
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,300,6,4096,8551.7484,74.91226005
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,350,6,4096,40411.9033,25.87746962
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,350,6,4096,11410.6495,80.18254351
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,350,6,4096,11462.7922,76.14595857
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,350,6,4096,12978.0651,78.06517321
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,350,6,4096,20732.4369,43.92601335
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,350,6,4096,14536.1106,52.35902649
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,350,6,4096,12675.7876,62.20336952
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,350,6,4096,10886.3304,72.81890875
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,350,6,4096,11118.7708,77.30529889
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,350,6,4096,12387.5095,74.34186832
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,350,6,4096,12020.4222,78.83312119
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,350,6,4096,11572.2425,78.7992215
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,400,6,4096,62294.106,26.70780764
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,400,6,4096,17168.1674,82.48553075
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,400,6,4096,19569.678,80.08836425
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,400,6,4096,23900.0098,76.73239113
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,400,6,4096,31987.0417,42.17844878
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,400,6,4096,22396.9152,53.68562989
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,400,6,4096,18130.558999999997,66.30645531
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,400,6,4096,14463.3594,76.42012961
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,6,400,6,4096,17362.7057,77.40905267
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,7,400,6,4096,19245.7723,81.88594749
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,8,400,6,4096,17927.2664,79.7057548
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,9,400,6,4096,17989.2747,79.93078787
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,1,450,6,4096,84817.9933,30.4597244
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,10,450,6,4096,23448.6607,83.41418408
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,11,450,6,4096,23416.5459,83.37637021
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,12,450,6,4096,24872.4915,81.11856426
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,2,450,6,4096,44161.6551,40.727551899999995
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,3,450,6,4096,30166.7625,53.48463893
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,4,450,6,4096,24767.7001,64.68774628
cep002,3.168,X86_64,8,64,1,32,4,64,1,256,16,64,6,12288,16,DDR4,2666,5,450,6,4096,22526.1577,77.20978088
