,model_name,r2,mape_runtime,mape_power
0,best_knn,-0.522287224,0.111704543,0.579131202
1,best_dt,0.208404047,0.113978053,0.378004116
2,best_rf,0.097215023,0.10915486,0.426517044
3,best_etr,0.02933172,0.107286385,0.434542164
4,best_dnn,-0.13463808,0.091022356,0.233776723
