models,r2,mape_runtime,mape_power
lr,0.513689888,0.184565177,0.283113062
rr,0.620764367,0.184927525,0.233130292
knn,0.762413493,0.151852655,0.153766197
gpr,0.260290659,0.687300646,0.315151674
dt,0.639057005,0.148453793,0.21339938
rf,0.65732033,0.15090527,0.224538754
etr,0.753204691,0.145706679,0.223097897
dnn,0.829617935,0.124754758,0.083279859
